id,name,domain,priority,module,status,module_evidence,intelligence_layer,v4_action,id_policy,greenfield_status,canonical_v5_3_action,implementation_gate
ALG-ANA-001,Alert effectiveness metrics,Analytics,P1,analytics/alert-effectiveness.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/analytics/alert-effectiveness.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-ANA-002,Engine cost attribution,Analytics,P1,analytics/cost-attribution.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/analytics/cost-attribution.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-001,Satellite product/tile source score,Cloud,P1,cloud/satellite-product-broker.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/satellite-product-broker.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-002,Cloud-top retrieval,Cloud,P1,cloud/cloud-state.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-state.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-003,Cloud-base retrieval,Cloud,P1,cloud/cloud-state.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-state.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-004,Multilayer detection,Cloud,P1,cloud/cloud-state.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-state.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-005,Cloud density profile,Cloud,P1,cloud/cloud-state.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-state.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-006,Observation/model/ensemble horizon blend,Cloud,P1,cloud/cloud-forecast.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-forecast.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-007,Cloud uncertainty visual mapping,Cloud,P1,cloud/cloud-render-policy.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/cloud-render-policy.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CLD-008,Procedural cloud detail budget,Cloud,P2,cloud/procedural-detail.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/cloud/procedural-detail.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CORE-001,Canonical signal fingerprint,Core,P0,core/canonical-signal.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/core/canonical-signal.js,RUNTIME_RENDER_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CORE-002,Cross-domain confidence,Core,P1,core/confidence.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/core/confidence.js,INTELLIGENCE_CORE_OR_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CORE-003,Truth budget,Core,P0,core/truth-budget.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/core/truth-budget.js,INTELLIGENCE_CORE_OR_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CORE-004,Trust ledger status,Core,P1,core/trust-ledger.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/core/trust-ledger.js,RUNTIME_RENDER_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-CORE-005,Device-network-battery adaptive quality,Core,P0,core/device-network-governor.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/core/device-network-governor.js,RUNTIME_RENDER_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,DEGRADE_3D_FIDELITY_ONLY; NEVER DEGRADE PHYSICAL CLOUD/TERRAIN/OCEAN TO PHOTO/SHELL,HIGH_3D->MEDIUM_3D->LOW_3D->STATIC_3D->OFF
ALG-CORE-006,Planet execution plan compiler,Core,P0,core/planet-intelligence-orchestrator.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/core/planet-intelligence-orchestrator.js,RUNTIME_RENDER_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,COMPILE_SCOPE/REGION/RESOURCE/SCENE PLAN UNDER FND-017; PRESERVE SCIENCE COMPUTE INDEPENDENT OF VISIBLE SUBSET,SCENE_EVIDENCE_SCOPE_TIME_ALIGNMENT + DISPOSAL
ALG-DAT-001,Bilinear grid resampling,Data Plane,P1,data/reprojection-resampling.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/reprojection-resampling.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-002,Canonical time-slice selection,Data Plane,P1,data/time-slice.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/time-slice.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-003,Bounded scalar quantization,Data Plane,P1,data/tile-compiler.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/tile-compiler.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-004,Revision fingerprint and classification,Data Plane,P1,data/revision-engine.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/revision-engine.js,INTELLIGENCE_CORE_OR_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-005,Adaptive frame prefetch,Data Plane,P1,data/adaptive-prefetch.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/data/adaptive-prefetch.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-006,Ambiguity-aware spatial identity resolution,Data,P1,data/spatial-identity-resolution.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/data/spatial-identity-resolution.js,DATA_EVIDENCE_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-DAT-007,Ground-truth learning example builder,Data,P1,data/learning-data-factory.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/data/learning-data-factory.js,INTELLIGENCE_CORE_OR_SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-001,Antimeridian-safe bounds,Geo,P0,geo/geospatial-reference.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/geo/geospatial-reference.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-002,Country camera fit,Geo,P0,geo/country-focus.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/geo/country-focus.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-003,Terrain source score,Geo,P0,geo/terrain-source-broker.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/geo/terrain-source-broker.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-004,Screen-space terrain LOD,Geo,P0,geo/terrain-lod.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/geo/terrain-lod.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-005,Terrain/data morph,Geo,P1,geo/terrain-data-morph.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/geo/terrain-data-morph.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-GEO-006,Trench Level-2 camera plan,Geo,P2,geo/trench-camera.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/geo/trench-camera.js,SUPPORT,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-001,Official warning precedence merge,Hazard,P0,hazards/warning-engine.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/warning-engine.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-002,Hypocenter depth visual mapping,Hazard,P1,hazards/earthquake-depth.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/earthquake-depth.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-003,Seismic context clustering,Hazard,P1,hazards/earthquake-depth.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/earthquake-depth.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-004,Lightning centroid tracking,Hazard,P1,hazards/lightning-track.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/lightning-track.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-005,Wildfire hotspot clustering,Hazard,P1,hazards/wildfire-smoke.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/wildfire-smoke.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-006,Cyclone agency resolver,Hazard,P1,hazards/cyclone-resolver.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v03/hazards/cyclone-resolver.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HAZ-007,Cross-agency hazard event fusion,Hazard,P1,hazards/event-fusion.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v04/hazards/event-fusion.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
ALG-HF-001,Density,Human Flow,P1,human-flow/algorithms.js,IMPLEMENTED_FOUNDATION,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ALGORITHM,REUSE_EXISTING_ALGORITHM; CHANGE_ONLY_WITH_VERSIONED_EVIDENCE_AND_REGRESSION,PRESERVE_EXISTING_ID,SOURCE_FOUNDATION_AVAILABLE,REUSE_AND_VERIFY_WITH_VERSIONED_EVIDENCE,ALGORITHM_FOUNDATION_NOT_EQUAL_PRODUCTION_DONE
