ID,time,latitude,longitude,ve,vn,gap,drogue_lost_date,typebuoy
,UTC,degrees_north,degrees_east,m/s,m/s,seconds,UTC,
123278,2015-07-03T13:00:00Z,-42.99444,14.1718,0.05,0.2083,253.20834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T14:00:00Z,-42.98769,14.17404,0.0508,0.2094,253.20834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T15:00:00Z,-42.98107,14.17908,0.1184,0.2071,172.20833,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T16:00:00Z,-42.97859,14.18338,-0.0918,9.0E-4,119.54167,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T17:00:00Z,-42.97221,14.14191,0.3544,0.4084,267.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T18:00:00Z,-42.95477,14.1602,0.347,0.4136,267.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T19:00:00Z,-42.94255,14.17334,0.0819,0.131,207.45834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T20:00:00Z,-42.93671,14.18194,-0.098,0.1091,140.70834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T21:00:00Z,-42.93465,14.17742,-0.0995,0.1836,115.958336,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T22:00:00Z,-42.92792,14.17717,0.0846,0.2038,372.5833,2015-08-15T00:00:00Z,SVPB
123278,2015-07-03T23:00:00Z,-42.92183,14.18278,0.1047,0.2001,372.5833,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T00:00:00Z,-42.91611,14.18712,0.1049,0.1961,372.5833,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T01:00:00Z,-42.9079,14.19727,0.1647,0.2148,369.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T02:00:00Z,-42.90062,14.20739,0.1753,0.2162,369.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T03:00:00Z,-42.89335,14.21457,0.0654,0.2512,277.79166,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T04:00:00Z,-42.88504,14.21689,0.0725,0.2509,277.79166,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T05:00:00Z,-42.8764,14.22087,0.2079,0.2974,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T06:00:00Z,-42.86611,14.23069,0.2046,0.2972,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T07:00:00Z,-42.85822,14.23877,0.1871,0.2147,133.66667,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T08:00:00Z,-42.85231,14.24272,0.0929,0.1591,130.04166,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T09:00:00Z,-42.846,14.24861,0.2146,0.252,516.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T10:00:00Z,-42.83789,14.25681,0.2157,0.2519,516.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T11:00:00Z,-42.83077,14.259,0.2691,0.2423,516.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T12:00:00Z,-42.82782,14.26967,0.2713,0.2002,516.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T13:00:00Z,-42.82147,14.28261,0.2011,0.1984,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T14:00:00Z,-42.80295,14.29563,0.212,0.2716,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T15:00:00Z,-42.81008,14.2911,0.3362,0.5094,168.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T16:00:00Z,-42.7871,14.30948,0.1639,0.2233,168.75,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T17:00:00Z,-42.78069,14.31434,0.077,0.2136,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T18:00:00Z,-42.77207,14.31674,0.0677,0.2286,249.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T19:00:00Z,-42.7652,14.32491,0.1462,0.2301,337.5,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T20:00:00Z,-42.75961,14.33548,0.16,0.2177,337.5,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T21:00:00Z,-42.75157,14.34275,0.2166,0.2035,98.416664,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T22:00:00Z,-42.74592,14.37296,0.1729,0.1841,256.66666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-04T23:00:00Z,-42.74022,14.37991,0.3024,0.1084,151.20834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T00:00:00Z,-42.73501,14.38889,0.3129,0.0898,369.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T01:00:00Z,-42.73315,14.40399,0.3117,0.0873,369.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T02:00:00Z,-42.73227,14.41962,0.3056,0.0815,369.16666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T03:00:00Z,-42.7283,14.43221,0.2578,0.1473,288.2917,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T04:00:00Z,-42.72266,14.4438,0.2458,0.1316,288.2917,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T05:00:00Z,-42.71791,14.45413,0.2248,0.1832,253.20834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T06:00:00Z,-42.71232,14.46277,0.2266,0.1805,0.0,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T07:00:00Z,-42.70549,14.4752,0.2463,0.1949,232.04169,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T08:00:00Z,-42.69858,14.48409,0.2437,0.0723,112.5,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T09:00:00Z,-42.69416,14.49342,0.2564,0.0408,534.4583,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T10:00:00Z,-42.69346,14.50505,0.2575,0.0399,534.4583,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T11:00:00Z,-42.69266,14.51682,0.2585,0.0398,534.4583,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T12:00:00Z,-42.69209,14.52895,0.2595,0.0408,534.4583,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T13:00:00Z,-42.68869,14.5415,0.28,0.0669,246.16667,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T14:00:00Z,-42.68603,14.54679,0.4382,0.0766,242.54167,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T15:00:00Z,-42.68402,14.57037,0.3417,0.0766,242.54167,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T16:00:00Z,-42.68171,14.58547,0.4019,0.0558,140.70834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T17:00:00Z,-42.68059,14.59047,0.1572,0.0222,119.54167,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T18:00:00Z,-42.68178,14.62901,0.5197,-0.0074,147.58333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T19:00:00Z,-42.68034,14.61928,0.3484,0.0137,203.83333,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T20:00:00Z,-42.67928,14.63493,0.2853,0.0886,98.416664,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T21:00:00Z,-42.67438,14.66961,0.8231,0.1038,130.04166,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T22:00:00Z,-42.67921,14.65757,0.2936,-0.1943,105.458336,2015-08-15T00:00:00Z,SVPB
123278,2015-07-05T23:00:00Z,-42.68134,14.67495,0.3608,0.0163,165.29167,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T00:00:00Z,-42.67859,14.68601,0.439,-0.1076,239.08334,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T01:00:00Z,-42.6818,14.70738,0.3934,-0.1246,239.08334,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T02:00:00Z,-42.68698,14.72393,0.3638,-0.1417,140.70834,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T03:00:00Z,-42.68883,14.7326,0.2305,-0.0037,200.41666,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T04:00:00Z,-42.68854,14.74106,0.1868,0.0402,270.74997,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T05:00:00Z,-42.68635,14.75559,0.235,0.0454,270.74997,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T06:00:00Z,-42.68571,14.76223,0.1174,0.0241,327.0,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T07:00:00Z,-42.68565,14.76443,0.1698,0.0227,327.0,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T08:00:00Z,-42.68656,14.7729,0.1878,-0.0638,98.416664,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T09:00:00Z,-42.69019,14.78206,0.1836,-0.0937,144.16667,2015-08-15T00:00:00Z,SVPB
123278,2015-07-06T10:00:00Z,-42.69131,14.78532,0.2929,-0.0187,312.91666,2015-08-15T00:00:00Z,SVPB
