drifter_id,unit,error_A_24h,error_B_24h,delta_24h,error_A_48h,error_B_48h,delta_48h,error_A_72h,error_B_72h,delta_72h,endpoint_A_72h,endpoint_B_72h,A_B_separation_72h,path_A,path_B,observed_72h
127198,AG-1,143.1,142.98,0.12,237.69,237.414,0.276,322.45,321.997,0.453,209.474,208.868,0.651,240.478,239.838,308.466
127199,AG-1,144.143,144.014,0.129,236.846,236.558,0.288,318.95,318.506,0.444,208.178,207.516,0.695,239.357,238.643,308.854
127272,AG-1,26.505,25.99,0.515,52.484,51.132,1.352,103.985,102.801,1.183,184.048,182.865,1.184,186.264,185.129,80.755
127281,AG-2,116.546,116.375,0.171,232.749,232.677,0.073,330.962,330.76,0.201,25.039,25.655,0.881,49.853,49.891,352.788
127313,AG-1,64.331,64.757,-0.426,144.219,144.932,-0.713,238.727,239.003,-0.275,240.773,240.645,0.301,255.561,255.376,449.489
127314,AG-1,48.155,48.617,-0.462,62.881,64.073,-1.192,47.053,47.705,-0.651,128.453,128.466,0.952,166.836,167.098,98.763
127315,AG-1,23.991,24.375,-0.384,44.311,44.145,0.166,55.671,55.299,0.372,183.71,184.082,0.589,187.805,188.233,181.032
132511,AG-1,40.466,40.743,-0.277,58.542,59.96,-1.417,109.628,112.085,-2.456,127.686,130.504,2.879,130.621,133.373,90.051
132528,AG-1,25.475,25.684,-0.209,22.369,24.056,-1.687,62.989,61.421,1.569,143.672,142.374,1.713,149.469,148.062,85.528
132634,AG-1,33.644,33.36,0.284,76.117,76.329,-0.211,124.0,124.525,-0.525,90.389,91.261,0.931,110.867,112.17,135.1
48965,KE-2,9.678,9.604,0.074,20.633,20.435,0.198,20.298,20.146,0.151,53.388,53.152,0.247,57.112,56.888,49.759
71155,KE-1,17.486,17.005,0.482,31.199,28.175,3.024,85.524,76.116,9.408,165.447,161.93,9.984,172.937,166.899,127.48
81801,KE-1,6.963,7.468,-0.505,17.849,17.663,0.186,15.029,14.404,0.625,72.207,72.918,0.83,89.727,90.989,78.333
81802,KE-2,1.476,1.947,-0.471,6.208,5.83,0.378,24.079,22.659,1.421,97.839,97.509,1.697,99.663,99.382,108.571
81805,KE-1,11.641,11.712,-0.07,33.59,33.772,-0.182,43.761,43.791,-0.03,64.788,66.655,2.564,71.98,73.419,47.347
81807,KE-1,9.545,9.283,0.262,18.034,17.855,0.179,31.27,31.073,0.198,12.657,13.263,1.483,45.185,45.783,21.291
81811,KE-1,26.148,26.172,-0.024,40.091,40.669,-0.578,60.528,61.314,-0.786,56.972,57.509,0.791,106.368,107.085,41.423
81813,KE-1,11.677,11.295,0.382,21.802,21.874,-0.072,21.856,23.047,-1.191,80.115,79.259,1.214,83.908,82.958,99.084
81814,KE-1,15.159,14.917,0.242,4.064,3.487,0.576,50.616,51.867,-1.251,169.324,167.802,1.567,190.754,189.234,204.736
81816,KE-1,16.569,15.92,0.65,32.579,31.427,1.152,52.416,50.633,1.782,36.207,34.486,1.914,65.906,65.109,16.535
90141,KE-2,28.594,28.682,-0.088,77.399,77.023,0.376,156.123,154.377,1.746,90.085,88.122,2.116,96.926,94.922,70.905
90142,KE-2,13.769,13.615,0.155,29.829,29.315,0.514,41.573,40.173,1.4,42.408,40.849,1.665,46.425,44.988,37.048
90145,KE-2,28.324,28.501,-0.177,71.847,72.964,-1.117,109.292,112.157,-2.865,140.774,141.162,3.072,149.355,148.91,131.458
