drifter_id,unit,region,error_24h_alpha0,error_24h_alpha0.0003,error_24h_alpha0.0007,error_24h_alpha0.001,error_24h_alpha0.002,error_48h_alpha0,error_48h_alpha0.0003,error_48h_alpha0.0007,error_48h_alpha0.001,error_48h_alpha0.002,error_72h_alpha0,error_72h_alpha0.0003,error_72h_alpha0.0007,error_72h_alpha0.001,error_72h_alpha0.002,endpoint_72h_alpha0,endpoint_72h_alpha0.0003,endpoint_72h_alpha0.0007,endpoint_72h_alpha0.001,endpoint_72h_alpha0.002,path_alpha0,path_alpha0.0003,path_alpha0.0007,path_alpha0.001,path_alpha0.002,sep72h_alpha0.0003,sep72h_alpha0.0007,sep72h_alpha0.001,sep72h_alpha0.002,observed_72h,in_selection_set
127198,AG-1,AG,142.98,143.032,143.1,143.151,143.319,237.414,237.532,237.69,237.811,238.223,321.997,322.188,322.45,322.658,323.38,208.868,209.128,209.474,209.737,210.616,239.838,240.113,240.478,240.751,241.654,0.277,0.651,0.937,1.906,308.466,true
127199,AG-1,AG,144.014,144.069,144.143,144.198,144.38,236.558,236.681,236.846,236.97,237.391,318.506,318.694,318.95,319.147,319.828,207.516,207.8,208.178,208.461,209.404,238.643,238.95,239.357,239.66,240.659,0.298,0.695,0.995,2.001,308.854,true
127272,AG-1,AG,25.99,26.211,26.505,26.727,27.47,51.132,51.708,52.484,53.072,55.056,102.801,103.311,103.985,104.485,106.115,182.865,183.374,184.048,184.549,186.183,185.129,185.618,186.264,186.745,188.312,0.51,1.184,1.685,3.319,80.755,true
127281,AG-2,AG,116.375,116.448,116.546,116.62,116.865,232.677,232.708,232.749,232.781,232.889,330.76,330.848,330.962,331.045,331.318,25.655,25.39,25.039,24.776,23.912,49.891,49.868,49.853,49.853,49.933,0.373,0.881,1.269,2.612,352.788,true
127313,AG-1,AG,64.757,64.574,64.331,64.15,63.55,144.932,144.624,144.219,143.918,142.936,239.003,238.885,238.727,238.609,238.212,240.645,240.702,240.773,240.823,240.965,255.376,255.458,255.561,255.634,255.853,0.127,0.301,0.434,0.899,449.489,true
127314,AG-1,AG,48.617,48.419,48.155,47.957,47.299,64.073,63.562,62.881,62.371,60.676,47.705,47.425,47.053,46.779,45.89,128.466,128.461,128.453,128.45,128.458,167.098,166.985,166.836,166.73,166.418,0.41,0.952,1.358,2.705,98.763,true
127315,AG-1,AG,24.375,24.21,23.991,23.829,23.293,44.145,44.215,44.311,44.386,44.649,55.299,55.458,55.671,55.832,56.37,184.082,183.924,183.71,183.547,182.984,188.233,188.051,187.805,187.618,186.979,0.251,0.589,0.844,1.711,181.032,true
132511,AG-1,AG,40.743,40.624,40.466,40.347,39.952,59.96,59.354,58.542,57.931,55.875,112.085,111.03,109.628,108.583,105.167,130.504,129.299,127.686,126.474,122.398,133.373,132.195,130.621,129.44,125.485,1.232,2.879,4.117,8.262,90.051,true
132528,AG-1,AG,25.684,25.593,25.475,25.39,25.126,24.056,23.327,22.369,21.658,19.304,61.421,62.096,62.989,63.659,65.919,142.374,142.937,143.672,144.218,146.033,148.062,148.669,149.469,150.067,152.088,0.733,1.713,2.455,4.985,85.528,true
132634,AG-1,AG,33.36,33.481,33.644,33.766,34.178,76.329,76.235,76.117,76.035,75.794,124.525,124.292,124.0,123.797,123.195,91.261,90.887,90.389,90.015,88.772,112.17,111.615,110.867,110.3,108.383,0.402,0.931,1.323,2.606,135.1,true
48965,KE-2,KE,9.604,9.635,9.678,9.712,9.828,20.435,20.52,20.633,20.718,21.001,20.146,20.212,20.298,20.361,20.569,53.152,53.254,53.388,53.489,53.817,56.888,56.984,57.112,57.208,57.527,0.107,0.247,0.352,0.693,49.759,true
71155,KE-1,KE,17.005,17.211,17.486,17.692,18.379,28.175,29.506,31.199,32.406,37.036,76.116,80.72,85.524,88.627,102.331,161.93,163.698,165.447,166.567,172.16,166.899,169.864,172.937,174.927,184.774,4.859,9.984,13.306,27.8,127.48,true
81801,KE-1,KE,7.468,7.252,6.963,6.747,6.03,17.663,17.742,17.849,17.931,18.216,14.404,14.671,15.029,15.299,16.207,72.918,72.612,72.207,71.907,70.923,90.989,90.445,89.727,89.192,87.431,0.357,0.83,1.181,2.334,78.333,true
81802,KE-2,KE,1.947,1.719,1.476,1.357,1.487,5.83,5.959,6.208,6.445,7.466,22.659,23.27,24.079,24.685,26.706,97.509,97.657,97.839,97.965,98.344,99.382,99.508,99.663,99.769,100.092,0.741,1.697,2.396,4.662,108.571,true
81805,KE-1,KE,11.712,11.676,11.641,11.625,11.633,33.772,33.691,33.59,33.522,33.386,43.791,43.778,43.761,43.747,43.692,66.655,65.886,64.788,63.927,60.868,73.419,72.827,71.98,71.312,68.908,1.064,2.564,3.721,7.706,47.347,true
81807,KE-1,KE,9.283,9.388,9.545,9.673,10.165,17.855,17.918,18.034,18.145,18.678,31.073,31.148,31.27,31.375,31.862,13.263,12.985,12.657,12.445,11.989,45.783,45.519,45.185,44.957,44.318,0.635,1.483,2.109,4.239,21.291,true
81811,KE-1,KE,26.172,26.161,26.148,26.141,26.129,40.669,40.421,40.091,39.844,39.026,61.314,60.978,60.528,60.189,59.055,57.509,57.28,56.972,56.738,55.94,107.085,106.778,106.368,106.056,104.989,0.338,0.791,1.131,2.267,41.423,true
81813,KE-1,KE,11.295,11.459,11.677,11.84,12.387,21.874,21.839,21.802,21.781,21.735,23.047,22.537,21.856,21.347,19.63,79.259,79.627,80.115,80.479,81.699,82.958,83.367,83.908,84.311,85.65,0.519,1.214,1.736,3.511,99.084,true
81814,KE-1,KE,14.917,15.021,15.159,15.263,15.61,3.487,3.735,4.064,4.308,5.112,51.867,51.332,50.616,50.077,48.22,167.802,168.455,169.324,169.973,172.172,189.234,189.889,190.754,191.398,193.528,0.672,1.567,2.24,4.532,204.736,true
81816,KE-1,KE,15.92,16.199,16.569,16.846,17.762,31.427,31.924,32.579,33.066,34.649,50.633,51.395,52.416,53.184,55.641,34.486,35.22,36.207,36.952,39.353,65.109,65.435,65.906,66.291,67.807,0.82,1.914,2.732,5.306,16.535,true
90141,KE-2,KE,28.682,28.645,28.594,28.557,28.443,77.023,77.19,77.399,77.537,77.943,154.377,155.144,156.123,156.813,158.931,88.122,88.982,90.085,90.868,93.295,94.922,95.799,96.926,97.727,100.217,0.924,2.116,2.97,5.655,70.905,true
90142,KE-2,KE,13.615,13.68,13.769,13.838,14.072,29.315,29.534,29.829,30.053,30.812,40.173,40.771,41.573,42.18,44.239,40.849,41.518,42.408,43.074,45.298,44.988,45.602,46.425,47.043,49.12,0.715,1.665,2.376,4.748,37.048,true
90145,KE-2,KE,28.501,28.425,28.324,28.248,27.992,72.964,72.487,71.847,71.363,69.708,112.157,110.919,109.292,108.085,104.183,141.162,140.998,140.774,140.599,139.966,148.91,149.102,149.355,149.54,150.073,1.331,3.072,4.356,8.467,131.458,true
