drifter_id,dataset,unit,region,obs_disp_24h,obs_bearing_24h,obs_path_hourly_24h,obs_disp_48h,obs_bearing_48h,obs_path_hourly_48h,obs_disp_72h,obs_bearing_72h,obs_path_hourly_72h,E24_a002,model_disp_24h_a002,model_path_24h_a002,model_path_hourly_24h_a002,model_bearing_24h_a002,bearing_diff_24h_a002,east_offset_24h_a002,north_offset_24h_a002,disp_ratio_24h_a002,path_ratio_hourly_24h_a002,path_excess_24h_a002,endpoint_over_path_24h_a002,E48_a002,model_disp_48h_a002,model_path_48h_a002,model_path_hourly_48h_a002,model_bearing_48h_a002,bearing_diff_48h_a002,east_offset_48h_a002,north_offset_48h_a002,disp_ratio_48h_a002,path_ratio_hourly_48h_a002,path_excess_48h_a002,endpoint_over_path_48h_a002,E72_a002,model_disp_72h_a002,model_path_72h_a002,model_path_hourly_72h_a002,model_bearing_72h_a002,bearing_diff_72h_a002,east_offset_72h_a002,north_offset_72h_a002,disp_ratio_72h_a002,path_ratio_hourly_72h_a002,path_excess_72h_a002,endpoint_over_path_72h_a002,growth_48_24_a002,growth_72_48_a002,growth_ratio_72_24_a002,growth_class_a002,E24_a0,model_disp_24h_a0,model_path_24h_a0,model_path_hourly_24h_a0,model_bearing_24h_a0,bearing_diff_24h_a0,east_offset_24h_a0,north_offset_24h_a0,disp_ratio_24h_a0,path_ratio_hourly_24h_a0,path_excess_24h_a0,endpoint_over_path_24h_a0,E48_a0,model_disp_48h_a0,model_path_48h_a0,model_path_hourly_48h_a0,model_bearing_48h_a0,bearing_diff_48h_a0,east_offset_48h_a0,north_offset_48h_a0,disp_ratio_48h_a0,path_ratio_hourly_48h_a0,path_excess_48h_a0,endpoint_over_path_48h_a0,E72_a0,model_disp_72h_a0,model_path_72h_a0,model_path_hourly_72h_a0,model_bearing_72h_a0,bearing_diff_72h_a0,east_offset_72h_a0,north_offset_72h_a0,disp_ratio_72h_a0,path_ratio_hourly_72h_a0,path_excess_72h_a0,endpoint_over_path_72h_a0,growth_48_24_a0,growth_72_48_a0,growth_ratio_72_24_a0,growth_class_a0,delta_24h,alpha_sep_24h,windage_toward_obs_24h,delta_48h,alpha_sep_48h,windage_toward_obs_48h,delta_72h,alpha_sep_72h,windage_toward_obs_72h,delta_sign_24_48_72,delta_sign_persistent,delta_sign_changes
127198,CALIBRATION,AG-1,AG,124.474,61.096,125.364,232.033,59.353,233.711,308.466,72.016,335.036,143.319,33.376,37.651,37.61,302.846,118.25,-137.166,-42.779,0.268,0.3,1.128,0.886,238.223,151.066,167.498,167.423,345.844,73.509,-236.455,25.739,0.651,0.716,1.109,0.902,323.38,210.616,241.654,241.559,357.599,74.418,-302.156,109.671,0.683,0.721,1.147,0.872,94.904,85.156,2.256,A,142.98,33.541,37.8,37.76,303.836,117.26,-136.983,-42.206,0.269,0.301,1.127,0.887,237.414,151.29,167.486,167.411,346.205,73.148,-235.587,26.182,0.652,0.716,1.107,0.903,321.997,208.868,239.838,239.74,357.806,74.21,-301.34,107.954,0.677,0.716,1.148,0.871,94.434,84.583,2.252,A,0.339,0.601,-0.002,0.809,0.977,-0.003,1.382,1.906,-0.004,pos/pos/pos,True,0
127199,CALIBRATION,AG-1,AG,126.107,61.421,127.127,233.349,59.398,235.206,308.854,72.049,336.238,144.38,33.603,37.845,37.806,304.679,116.743,-138.528,-41.95,0.266,0.297,1.126,0.888,237.391,152.337,168.417,168.344,346.827,72.571,-235.455,27.034,0.653,0.716,1.106,0.905,319.828,209.404,240.659,240.564,358.633,73.416,-298.804,108.611,0.678,0.715,1.149,0.87,93.011,82.437,2.215,A,144.014,33.783,38.0,37.961,305.715,115.706,-138.321,-41.348,0.268,0.299,1.125,0.889,236.558,152.338,168.15,168.076,347.161,72.237,-234.592,27.231,0.653,0.715,1.104,0.906,318.506,207.516,238.643,238.545,358.815,73.234,-298.11,106.738,0.672,0.709,1.15,0.87,92.544,81.948,2.212,A,0.366,0.636,-0.003,0.833,0.888,-0.004,1.322,2.001,-0.004,pos/pos/pos,True,0
127272,CALIBRATION,AG-1,AG,33.621,229.769,33.901,63.345,225.327,64.217,80.755,227.769,83.923,27.47,60.977,61.076,61.075,226.601,3.169,-18.735,-20.109,1.814,1.802,1.002,0.998,55.056,118.193,118.877,118.87,228.49,3.164,-43.793,-33.474,1.866,1.851,1.006,0.994,106.115,186.183,188.312,188.304,233.404,5.635,-90.622,-55.67,2.306,2.244,1.011,0.989,27.586,51.059,3.863,A,25.99,59.453,59.565,59.564,226.103,3.666,-17.266,-19.443,1.768,1.757,1.002,0.998,51.132,114.311,115.048,115.041,228.09,2.763,-40.323,-31.531,1.805,1.791,1.006,0.994,102.801,182.865,185.129,185.12,233.383,5.614,-87.87,-53.791,2.264,2.206,1.012,0.988,25.141,51.67,3.955,A,1.48,1.611,-0.057,3.925,3.966,-0.077,3.314,3.319,-0.032,pos/pos/pos,True,0
127313,CALIBRATION,AG-1,AG,144.73,219.721,155.855,308.077,216.434,321.205,449.489,223.631,471.872,63.55,81.579,88.032,88.011,223.477,3.756,36.688,51.813,0.564,0.565,1.079,0.927,142.936,168.186,180.048,180.023,209.042,7.393,102.257,99.245,0.546,0.56,1.071,0.934,238.212,240.965,255.853,255.823,203.469,20.162,215.3,99.134,0.536,0.542,1.062,0.942,79.385,95.277,3.748,A,64.757,80.329,86.835,86.814,223.327,3.606,37.7,52.57,0.555,0.557,1.081,0.925,144.932,166.411,178.366,178.341,208.686,7.748,104.012,100.282,0.54,0.555,1.072,0.933,239.003,240.645,255.376,255.347,203.269,20.362,216.187,99.084,0.535,0.541,1.061,0.942,80.175,94.071,3.691,A,-1.207,1.268,0.019,-1.996,2.057,0.014,-0.79,0.899,0.003,neg/neg/neg,True,0
127314,CALIBRATION,AG-1,AG,78.492,300.708,87.427,124.266,263.894,168.75,98.763,246.218,221.503,47.299,40.028,44.54,44.528,329.136,28.428,46.939,-5.942,0.51,0.509,1.113,0.899,60.676,79.98,102.152,102.129,287.908,24.014,47.76,37.303,0.644,0.605,1.277,0.783,45.89,128.458,166.418,166.39,264.088,17.87,-37.031,27.029,1.301,0.751,1.296,0.772,13.377,-14.786,0.97,C,48.617,39.766,44.194,44.183,331.21,30.502,48.324,-5.454,0.507,0.505,1.111,0.9,64.073,79.06,100.864,100.841,290.378,26.483,49.768,40.223,0.636,0.598,1.276,0.784,47.705,128.466,167.098,167.071,265.294,19.077,-37.252,29.725,1.301,0.754,1.301,0.769,15.455,-16.368,0.981,C,-1.318,1.468,0.027,-3.396,3.548,0.053,-1.815,2.705,0.039,neg/neg/neg,True,0
127315,CALIBRATION,AG-1,AG,75.54,246.03,77.897,131.642,239.77,135.241,181.032,240.719,185.847,23.293,53.889,55.737,55.722,253.751,7.721,17.379,15.493,0.713,0.715,1.034,0.967,44.649,122.566,125.847,125.824,259.589,19.819,-6.211,44.213,0.931,0.93,1.027,0.974,56.37,182.984,186.979,186.952,258.528,17.809,-20.368,52.538,1.011,1.006,1.022,0.979,21.356,11.721,2.42,A,24.375,52.565,54.426,54.412,253.441,7.411,18.728,15.582,0.696,0.699,1.035,0.966,44.145,121.372,124.721,124.697,259.327,19.557,-4.946,43.866,0.922,0.922,1.028,0.973,55.299,184.082,188.233,188.205,258.118,17.399,-21.203,51.047,1.017,1.013,1.023,0.978,19.77,11.154,2.269,A,-1.082,1.355,0.045,0.504,1.318,-0.011,1.071,1.711,-0.019,neg/pos/pos,False,1
132511,CALIBRATION,AG-1,AG,41.696,241.683,47.753,62.537,222.569,99.645,90.051,234.668,133.398,39.952,48.945,49.187,49.185,190.132,51.552,28.068,-28.479,1.174,1.03,1.005,0.995,55.875,83.779,86.213,86.205,180.738,41.831,41.221,-37.823,1.34,0.865,1.029,0.972,105.167,122.398,125.485,125.469,177.741,56.927,78.331,-70.546,1.359,0.941,1.025,0.975,15.922,49.292,2.632,A,40.743,49.188,49.447,49.445,189.2,52.484,28.816,-28.853,1.18,1.035,1.005,0.995,59.96,87.926,90.295,90.287,179.598,42.972,42.926,-41.975,1.406,0.906,1.027,0.974,112.085,130.504,133.373,133.358,177.018,57.65,80.32,-78.57,1.449,1.0,1.022,0.978,19.217,52.125,2.751,A,-0.791,0.834,0.019,-4.085,4.485,0.069,-6.918,8.262,0.063,neg/neg/neg,True,0
132528,CALIBRATION,AG-1,AG,44.678,225.54,46.938,108.006,248.142,117.627,85.528,258.498,148.494,25.126,36.201,38.179,38.17,259.743,34.203,-3.636,24.861,0.81,0.813,1.055,0.948,19.304,91.701,94.493,94.477,254.094,5.952,12.199,14.953,0.849,0.803,1.03,0.97,65.919,146.033,152.088,152.068,245.052,13.445,-49.247,-43.954,1.707,1.024,1.041,0.96,-5.822,46.615,2.624,B,25.684,34.149,36.204,36.194,260.441,34.901,-1.691,25.629,0.764,0.771,1.06,0.943,24.056,87.096,89.93,89.913,255.174,7.031,16.211,17.759,0.806,0.764,1.033,0.968,61.421,142.374,148.062,148.04,246.398,12.1,-47.228,-39.392,1.665,0.997,1.04,0.962,-1.628,37.364,2.391,B,-0.559,2.096,0.025,-4.752,4.903,0.199,4.499,4.985,-0.073,neg/neg/pos,False,1
132634,CALIBRATION,AG-1,AG,79.774,31.507,90.59,125.507,343.832,192.309,135.1,298.643,297.946,34.178,45.909,47.211,47.204,27.134,4.373,-20.69,-27.227,0.575,0.521,1.028,0.972,75.794,74.596,80.218,80.195,17.567,33.735,57.578,-49.463,0.594,0.417,1.075,0.93,123.195,88.772,108.383,108.348,1.468,62.825,120.837,23.229,0.657,0.364,1.221,0.819,41.616,47.401,3.605,A,33.36,46.585,47.844,47.838,28.338,3.169,-19.513,-27.078,0.584,0.528,1.027,0.974,76.329,76.827,82.358,82.336,18.671,34.839,59.664,-47.792,0.612,0.428,1.072,0.933,124.525,91.261,112.17,112.137,1.96,63.317,121.681,25.694,0.676,0.376,1.229,0.814,42.969,48.196,3.733,A,0.818,1.183,-0.024,-0.535,2.665,0.007,-1.33,2.606,0.011,pos/neg/neg,False,1
127281,CALIBRATION,AG-2,AG,139.357,221.112,146.309,256.05,231.111,267.821,352.788,241.728,392.66,116.865,25.086,26.365,26.343,197.214,23.898,84.277,80.535,0.18,0.18,1.051,0.951,232.889,28.36,37.229,37.141,197.74,33.371,190.794,131.344,0.111,0.139,1.313,0.762,331.318,23.912,49.933,49.819,216.476,25.252,296.77,142.047,0.068,0.127,2.088,0.479,116.024,98.429,2.835,A,116.375,25.835,27.162,27.14,196.468,24.644,84.375,79.721,0.185,0.185,1.051,0.951,232.677,29.624,38.009,37.921,195.288,35.823,191.61,129.778,0.116,0.142,1.283,0.779,330.76,25.655,49.891,49.78,211.972,29.756,297.386,139.511,0.073,0.127,1.945,0.514,116.302,98.084,2.842,A,0.49,0.819,-0.004,0.212,1.771,-0.001,0.557,2.612,-0.001,pos/pos/pos,True,0
