drifter_id,unit,role,error_H002_24h,error_G002_24h,delta_24h,error_H0_24h,error_G0_24h,deltaS_24h,error_H002_48h,error_G002_48h,delta_48h,error_H0_48h,error_G0_48h,deltaS_48h,error_H002_72h,error_G002_72h,delta_72h,error_H0_72h,error_G0_72h,deltaS_72h,endpoint_G002_72h,endpoint_G0_72h,endpoint_H002_72h,endpoint_H0_72h,path_G002,path_G0,path_H002,path_H0,M4_G002_G0_sep72h,M4_H002_H0_sep72h,GH_sep72h_alpha0.002,observed_72h
127198,AG-1,CALIBRATION,143.319,69.677,-73.642,142.98,68.984,-73.996,238.223,124.876,-113.348,237.414,122.818,-114.596,323.38,147.7,-175.68,321.997,146.58,-175.417,166.876,168.663,210.616,208.868,181.07,183.707,241.654,239.838,2.222,1.906,257.165,308.466
127199,AG-1,CALIBRATION,144.38,71.146,-73.234,144.014,70.46,-73.554,237.391,125.036,-112.355,236.558,122.981,-113.577,319.828,146.416,-173.412,318.506,145.292,-173.214,168.361,170.149,209.404,207.516,182.888,185.529,240.659,238.643,2.236,2.001,254.082,308.854
127272,AG-1,CALIBRATION,27.47,18.05,-9.42,25.99,16.675,-9.315,55.056,52.823,-2.234,51.132,50.142,-0.99,106.115,96.523,-9.592,102.801,95.488,-7.313,168.331,166.978,186.183,182.865,168.387,167.039,188.312,185.129,1.623,3.319,47.863,80.755
127313,AG-1,CALIBRATION,63.55,131.891,68.341,64.757,132.895,68.138,142.936,289.961,147.026,144.932,290.97,146.039,238.212,416.26,178.048,239.003,416.222,177.22,54.514,54.13,240.965,240.645,54.842,54.555,255.853,255.376,0.496,0.899,227.955,449.489
127314,AG-1,CALIBRATION,47.299,45.859,-1.441,48.617,47.062,-1.555,60.676,77.404,16.727,64.073,80.587,16.514,45.89,63.504,17.614,47.705,65.867,18.162,131.752,133.074,128.458,128.466,167.418,169.792,166.418,167.098,2.407,2.705,22.13,98.763
127315,AG-1,CALIBRATION,23.293,34.539,11.246,24.375,33.197,8.822,44.649,83.472,38.823,44.145,81.627,37.482,56.37,143.744,87.374,55.299,143.328,88.029,323.313,322.934,182.984,184.082,332.85,332.273,186.979,188.233,0.524,1.711,169.759,181.032
132511,AG-1,CALIBRATION,39.952,45.029,5.077,40.743,45.063,4.32,55.875,99.332,43.458,59.96,99.767,39.808,105.167,151.207,46.041,112.085,155.836,43.752,238.377,243.032,122.398,130.504,248.764,253.526,125.485,133.373,4.655,8.262,224.392,90.051
132528,AG-1,CALIBRATION,25.126,41.109,15.983,25.684,42.129,16.445,19.304,99.499,80.195,24.056,100.648,76.592,65.919,66.626,0.706,61.421,66.225,4.805,19.203,19.797,146.033,142.374,24.573,26.012,152.088,148.062,0.987,4.985,126.899,85.528
132634,AG-1,CALIBRATION,34.178,27.383,-6.795,33.36,26.572,-6.788,75.794,53.507,-22.287,76.329,54.676,-21.652,123.195,101.496,-21.699,124.525,105.516,-19.009,124.846,126.731,88.772,91.261,156.945,158.632,108.383,112.17,4.071,2.606,47.723,135.1
127281,AG-2,CALIBRATION,116.865,28.432,-88.433,116.375,29.091,-87.284,232.889,NOT_AVAILABLE,NOT_AVAILABLE,232.677,NOT_AVAILABLE,NOT_AVAILABLE,331.318,NOT_AVAILABLE,NOT_AVAILABLE,330.76,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.912,25.655,267.569,268.4,49.933,49.891,NOT_AVAILABLE,2.612,NOT_AVAILABLE,352.788
71155,KE-1,CALIBRATION,18.379,76.952,58.573,17.005,75.276,58.271,37.036,169.072,132.036,28.175,164.446,136.271,102.331,325.969,223.639,76.116,324.011,247.895,349.635,348.61,172.16,161.93,374.344,373.916,184.774,166.899,2.934,27.8,224.622,127.48
81801,KE-1,CALIBRATION,6.03,46.234,40.204,7.468,44.936,37.468,18.216,80.256,62.039,17.663,77.676,60.014,16.207,89.781,73.574,14.404,87.345,72.941,66.534,66.53,70.923,72.918,69.825,69.698,87.431,90.989,2.851,2.334,94.854,78.333
81805,KE-1,CALIBRATION,11.633,22.646,11.013,11.712,23.689,11.977,33.386,30.398,-2.988,33.772,31.216,-2.556,43.692,28.201,-15.491,43.791,29.74,-14.051,75.353,77.05,60.868,66.655,88.04,90.903,68.908,73.419,2.878,7.706,51.034,47.347
81807,KE-1,CALIBRATION,10.165,8.196,-1.969,9.283,9.775,0.493,18.678,15.75,-2.929,17.855,18.783,0.928,31.862,32.042,0.18,31.073,36.818,5.746,22.685,24.208,11.989,13.263,32.803,35.798,44.318,45.783,6.059,4.239,17.882,21.291
81811,KE-1,CALIBRATION,26.129,40.522,14.393,26.172,39.776,13.604,39.026,46.395,7.369,40.669,45.78,5.111,59.055,18.783,-40.272,61.314,19.746,-41.568,26.077,22.116,55.94,57.509,60.684,55.448,104.989,107.085,6.114,2.267,62.511,41.423
81813,KE-1,CALIBRATION,12.387,2.66,-9.727,11.295,3.547,-7.748,21.735,11.886,-9.849,21.874,12.294,-9.58,19.63,26.913,7.283,23.047,26.537,3.489,79.473,77.782,81.699,79.259,90.149,88.571,85.65,82.958,2.75,3.511,24.934,99.084
81814,KE-1,CALIBRATION,15.61,19.585,3.974,14.917,20.119,5.202,5.112,41.577,36.465,3.487,40.744,37.257,48.22,NOT_AVAILABLE,NOT_AVAILABLE,51.867,26.087,-25.78,NOT_AVAILABLE,211.339,172.172,167.802,215.731,215.524,193.528,189.234,NOT_AVAILABLE,4.532,NOT_AVAILABLE,204.736
81816,KE-1,CALIBRATION,17.762,25.44,7.678,15.92,26.869,10.949,34.649,47.664,13.015,31.427,49.588,18.161,55.641,63.535,7.894,50.633,65.492,14.858,79.647,81.775,39.353,34.486,79.782,81.895,67.807,65.109,4.267,5.306,116.82,16.535
48965,KE-2,CALIBRATION,9.828,9.577,-0.251,9.604,9.525,-0.079,21.001,7.082,-13.919,20.435,7.964,-12.471,20.569,10.262,-10.307,20.146,10.364,-9.782,45.219,43.289,53.817,53.152,47.219,45.241,57.527,56.888,2.117,0.693,29.788,49.759
81802,KE-2,CALIBRATION,1.487,14.04,12.553,1.947,14.798,12.851,7.466,33.725,26.259,5.83,34.064,28.234,26.706,50.99,24.284,22.659,50.895,28.236,67.628,67.307,98.344,97.509,68.565,67.931,100.092,99.382,0.532,4.662,32.168,108.571
90141,KE-2,CALIBRATION,28.443,4.427,-24.016,28.682,2.602,-26.08,77.943,15.402,-62.542,77.023,12.804,-64.218,158.931,14.977,-143.954,154.377,12.155,-142.222,82.95,80.611,93.295,88.122,87.533,84.648,100.217,94.922,2.822,5.655,167.628,70.905
90142,KE-2,CALIBRATION,14.072,20.568,6.496,13.615,21.361,7.746,30.812,37.503,6.691,29.315,39.373,10.057,44.239,51.677,7.438,40.173,54.748,14.575,20.751,24.236,45.298,40.849,22.883,25.955,49.12,44.988,3.505,4.748,65.895,37.048
90145,KE-2,CALIBRATION,27.992,11.536,-16.456,28.501,10.162,-18.339,69.708,8.884,-60.824,72.964,7.945,-65.019,104.183,21.727,-82.456,112.157,23.44,-88.717,115.598,115.315,139.966,141.162,128.603,127.514,150.073,148.91,2.052,8.467,86.539,131.458
48985,KE-H1,HOLDOUT,8.223,10.273,2.05,8.106,11.265,3.159,21.544,11.849,-9.694,21.494,12.874,-8.62,48.81,22.839,-25.972,48.885,24.119,-24.766,15.274,15.551,40.051,38.936,17.581,17.041,55.705,55.098,1.441,1.826,50.953,31.456
81806,KE-H1,HOLDOUT,1.941,2.992,1.05,2.389,2.846,0.457,6.096,4.796,-1.3,7.536,5.116,-2.419,12.091,7.037,-5.054,13.843,8.567,-5.277,44.501,41.697,45.351,43.496,44.533,41.717,47.599,45.771,2.828,2.35,16.764,48.477
90135,KE-H1,HOLDOUT,21.517,31.961,10.444,21.07,31.976,10.906,27.504,56.083,28.579,26.212,55.676,29.464,24.444,57.508,33.064,24.844,56.91,32.066,126.318,127.286,101.547,108.461,130.913,131.857,106.154,113.093,1.715,6.931,36.094,104.782
90149,KE-H1,HOLDOUT,4.089,15.025,10.936,4.277,15.906,11.629,8.88,26.378,17.498,9.127,28.409,19.282,17.603,30.524,12.921,15.8,33.526,17.726,35.413,36.612,79.693,77.507,35.457,36.801,83.845,82.918,5.341,6.808,47.788,62.188
90150,KE-H1,HOLDOUT,23.705,34.495,10.79,25.276,33.621,8.345,58.664,58.905,0.242,63.93,57.741,-6.19,89.37,69.208,-20.162,99.98,69.014,-30.966,49.739,47.772,125.215,132.96,52.782,50.752,128.243,136.577,3.759,10.906,114.333,112.667
89898,KE-H3,HOLDOUT,13.802,6.807,-6.996,13.214,7.574,-5.64,17.08,26.06,8.98,17.247,27.157,9.911,10.265,52.084,41.819,10.224,55.735,45.51,104.573,103.568,150.297,150.017,110.415,108.715,173.068,171.818,3.805,3.394,60.911,140.071
