drifter_id,unit,role,error_A_24h,error_C_24h,error_D_24h,delta_spatial_24h,delta_product_24h,error_A_48h,error_C_48h,error_D_48h,delta_spatial_48h,delta_product_48h,error_A_72h,error_C_72h,error_D_72h,delta_spatial_72h,delta_product_72h,endpoint_A_72h,endpoint_C_72h,endpoint_D_72h,path_A,path_C,path_D,M4_C_D_sep72h,M4_C_A_sep72h,observed_72h
127198,AG-1,CALIBRATION,143.319,69.677,69.906,-0.229,-73.642,238.223,124.876,124.692,0.184,-113.348,323.38,147.7,147.879,-0.179,-175.68,210.616,166.876,166.788,241.654,181.07,181.003,0.269,257.165,308.466
127199,AG-1,CALIBRATION,144.38,71.146,71.353,-0.207,-73.234,237.391,125.036,124.804,0.232,-112.355,319.828,146.416,146.493,-0.077,-173.412,209.404,168.361,168.395,240.659,182.888,182.937,0.287,254.082,308.854
127272,AG-1,CALIBRATION,27.47,18.05,18.32,-0.271,-9.42,55.056,52.823,52.586,0.237,-2.234,106.115,96.523,95.638,0.885,-9.592,186.183,168.331,167.447,188.312,168.387,167.494,0.894,47.863,80.755
127313,AG-1,CALIBRATION,63.55,131.891,131.213,0.678,68.341,142.936,289.961,287.687,2.275,147.026,238.212,416.26,411.548,4.713,178.048,240.965,54.514,58.617,255.853,54.842,59.136,4.992,227.955,449.489
127314,AG-1,CALIBRATION,47.299,45.859,45.866,-0.007,-1.441,60.676,77.404,77.469,-0.066,16.727,45.89,63.504,63.507,-0.004,17.614,128.458,131.752,131.658,166.418,167.418,167.265,0.134,22.13,98.763
127315,AG-1,CALIBRATION,23.293,34.539,33.62,0.919,11.246,44.649,83.472,82.25,1.222,38.823,56.37,143.744,141.369,2.376,87.374,182.984,323.313,321.023,186.979,332.85,330.371,2.472,169.759,181.032
132511,AG-1,CALIBRATION,39.952,45.029,45.539,-0.51,5.077,55.875,99.332,100.915,-1.582,43.458,105.167,151.207,154.545,-3.338,46.041,122.398,238.377,241.67,125.485,248.764,252.12,3.343,224.392,90.051
132528,AG-1,CALIBRATION,25.126,41.109,40.438,0.671,15.983,19.304,99.499,98.382,1.117,80.195,65.919,66.626,65.173,1.452,0.706,146.033,19.203,20.443,152.088,24.573,24.701,1.933,126.899,85.528
132634,AG-1,CALIBRATION,34.178,27.383,27.489,-0.106,-6.795,75.794,53.507,53.727,-0.22,-22.287,123.195,101.496,102.127,-0.631,-21.699,88.772,124.846,124.694,108.383,156.945,156.339,0.726,47.723,135.1
127281,AG-2,CALIBRATION,116.865,28.432,27.845,0.587,-88.433,232.889,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,331.318,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.912,NOT_AVAILABLE,NOT_AVAILABLE,49.933,267.569,267.068,NOT_AVAILABLE,NOT_AVAILABLE,352.788
71155,KE-1,CALIBRATION,18.379,76.952,75.956,0.996,58.573,37.036,169.072,166.759,2.313,132.036,102.331,325.969,322.231,3.738,223.639,172.16,349.635,345.893,184.774,374.344,370.309,3.807,224.622,127.48
81801,KE-1,CALIBRATION,6.03,46.234,46.105,0.129,40.204,18.216,80.256,80.047,0.208,62.039,16.207,89.781,89.469,0.313,73.574,70.923,66.534,66.666,87.431,69.825,69.815,0.47,94.854,78.333
81805,KE-1,CALIBRATION,11.633,22.646,22.419,0.227,11.013,33.386,30.398,30.153,0.245,-2.988,43.692,28.201,27.936,0.265,-15.491,60.868,75.353,75.077,68.908,88.04,87.504,0.3,51.034,47.347
81807,KE-1,CALIBRATION,10.165,8.196,7.97,0.226,-1.969,18.678,15.75,15.346,0.404,-2.929,31.862,32.042,30.813,1.229,0.18,11.989,22.685,22.401,44.318,32.803,31.847,1.533,17.882,21.291
81811,KE-1,CALIBRATION,26.129,40.522,40.555,-0.033,14.393,39.026,46.395,46.441,-0.047,7.369,59.055,18.783,18.833,-0.05,-40.272,55.94,26.077,25.897,104.989,60.684,60.37,0.209,62.511,41.423
81813,KE-1,CALIBRATION,12.387,2.66,2.659,0.001,-9.727,21.735,11.886,12.5,-0.614,-9.849,19.63,26.913,26.714,0.198,7.283,81.699,79.473,77.83,85.65,90.149,87.755,2.475,24.934,99.084
81814,KE-1,CALIBRATION,15.61,19.585,19.301,0.284,3.974,5.112,41.577,41.065,0.512,36.465,48.22,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,172.172,NOT_AVAILABLE,NOT_AVAILABLE,193.528,215.731,213.039,NOT_AVAILABLE,NOT_AVAILABLE,204.736
81816,KE-1,CALIBRATION,17.762,25.44,24.625,0.816,7.678,34.649,47.664,46.143,1.521,13.015,55.641,63.535,61.701,1.834,7.894,39.353,79.647,77.79,67.807,79.782,77.928,1.899,116.82,16.535
48965,KE-2,CALIBRATION,9.828,9.577,9.205,0.372,-0.251,21.001,7.082,6.318,0.764,-13.919,20.569,10.262,10.627,-0.364,-10.307,53.817,45.219,45.847,57.527,47.219,47.649,0.86,29.788,49.759
81802,KE-2,CALIBRATION,1.487,14.04,13.809,0.231,12.553,7.466,33.725,33.072,0.653,26.259,26.706,50.99,49.818,1.173,24.284,98.344,67.628,68.438,100.092,68.565,69.437,1.173,32.168,108.571
90141,KE-2,CALIBRATION,28.443,4.427,4.106,0.321,-24.016,77.943,15.402,15.076,0.326,-62.542,158.931,14.977,14.044,0.933,-143.954,93.295,82.95,80.444,100.217,87.533,84.774,3.011,167.628,70.905
90142,KE-2,CALIBRATION,14.072,20.568,20.543,0.026,6.496,30.812,37.503,37.263,0.24,6.691,44.239,51.677,51.0,0.677,7.438,45.298,20.751,19.587,49.12,22.883,21.653,1.245,65.895,37.048
90145,KE-2,CALIBRATION,27.992,11.536,11.51,0.026,-16.456,69.708,8.884,8.909,-0.025,-60.824,104.183,21.727,21.78,-0.053,-82.456,139.966,115.598,115.724,150.073,128.603,128.599,0.228,86.539,131.458
48985,KE-H1,HOLDOUT,8.223,10.273,10.276,-0.002,2.05,21.544,11.849,11.847,0.003,-9.694,48.81,22.839,22.53,0.309,-25.972,40.051,15.274,16.852,55.705,17.581,18.903,1.587,50.953,31.456
81806,KE-H1,HOLDOUT,1.941,2.992,2.963,0.029,1.05,6.096,4.796,4.765,0.031,-1.3,12.091,7.037,7.121,-0.083,-5.054,45.351,44.501,44.195,47.599,44.533,44.227,0.32,16.764,48.477
90135,KE-H1,HOLDOUT,21.517,31.961,31.795,0.165,10.444,27.504,56.083,55.786,0.297,28.579,24.444,57.508,57.247,0.261,33.064,101.547,126.318,126.057,106.154,130.913,130.564,0.295,36.094,104.782
90149,KE-H1,HOLDOUT,4.089,15.025,15.017,0.008,10.936,8.88,26.378,26.322,0.055,17.498,17.603,30.524,30.329,0.195,12.921,79.693,35.413,35.838,83.845,35.457,35.885,0.473,47.788,62.188
90150,KE-H1,HOLDOUT,23.705,34.495,34.181,0.313,10.79,58.664,58.905,57.712,1.194,0.242,89.37,69.208,67.189,2.019,-20.162,125.215,49.739,50.996,128.243,52.782,54.231,2.108,114.333,112.667
89898,KE-H3,HOLDOUT,13.802,6.807,6.735,0.072,-6.996,17.08,26.06,25.846,0.213,8.98,10.265,52.084,51.782,0.301,41.819,150.297,104.573,104.735,173.068,110.415,110.588,0.301,60.911,140.071
90146,KE-H3,HOLDOUT,16.625,6.766,6.962,-0.196,-9.859,22.74,19.158,19.427,-0.269,-3.582,29.497,31.665,31.987,-0.322,2.167,101.085,54.39,54.154,141.661,54.753,54.515,0.323,46.699,81.357
92981,KE-H3,HOLDOUT,13.072,14.439,14.415,0.024,1.366,12.402,31.834,31.752,0.081,19.432,33.118,36.862,36.764,0.098,3.743,140.511,120.046,120.024,174.169,130.288,130.291,0.301,43.762,154.559
98996,KE-H3,HOLDOUT,12.299,19.701,19.711,-0.01,7.402,35.126,46.89,46.912,-0.022,11.763,90.497,83.052,83.052,0.0,-7.444,12.233,31.315,31.391,37.045,31.683,31.759,0.08,39.138,79.433
98997,KE-H3,HOLDOUT,17.752,17.993,17.915,0.078,0.241,33.816,36.955,36.694,0.262,3.139,37.114,51.988,51.83,0.159,14.874,42.506,63.693,63.557,70.311,70.483,70.298,0.439,63.394,12.151
98998,KE-H3,HOLDOUT,22.802,8.506,8.651,-0.145,-14.296,43.279,9.4,9.56,-0.16,-33.879,58.451,14.309,14.534,-0.225,-44.143,66.716,40.461,40.049,82.714,42.135,41.663,0.42,48.143,51.185
99006,KE-H3,HOLDOUT,7.39,5.228,5.213,0.015,-2.162,14.086,11.096,11.128,-0.032,-2.991,11.846,24.151,24.179,-0.028,12.305,31.281,18.674,18.871,50.781,19.74,19.912,0.198,20.952,26.356
