depth,windowId,role,returnedLevelMeters,depthIdentity,G6_spatial,G7_temporal,missingFractionBox,G10_releaseStencil,status
D05,KE-1,CALIBRATION,5.078224182128906,PASS,PASS,PASS,0.0023612750885478157,PASS,WINDOW_PASS
D05,KE-2,CALIBRATION,5.078224182128906,PASS,PASS,PASS,0.08908918406072107,PASS,WINDOW_PASS
D05,AG-1,CALIBRATION,5.078224182128906,PASS,PASS,PASS,0.17443912812333864,PASS,WINDOW_PASS
D05,AG-2,CALIBRATION,5.078224182128906,PASS,PASS,PASS,0.0,PASS,WINDOW_PASS
D05,KE-H1,HOLDOUT,5.078224182128906,PASS,PASS,PASS,0.0658039278728934,PASS,WINDOW_PASS
D05,KE-H2,HOLDOUT,5.078224182128906,PASS,PASS,PASS,0.0,PASS,WINDOW_PASS
D05,KE-H3,HOLDOUT,5.078224182128906,PASS,PASS,PASS,0.007617845117845118,PASS,WINDOW_PASS
D10,KE-1,CALIBRATION,9.572997093200684,PASS,PASS,PASS,0.0023612750885478157,PASS,WINDOW_PASS
D10,KE-2,CALIBRATION,9.572997093200684,PASS,PASS,PASS,0.0905123339658444,PASS,WINDOW_PASS
D10,AG-1,CALIBRATION,9.572997093200684,PASS,PASS,PASS,0.1752046783625731,PASS,WINDOW_PASS
D10,AG-2,CALIBRATION,9.572997093200684,PASS,PASS,PASS,0.0,PASS,WINDOW_PASS
D10,KE-H1,HOLDOUT,9.572997093200684,PASS,PASS,PASS,0.0666881011708598,PASS,WINDOW_PASS
D10,KE-H2,HOLDOUT,9.572997093200684,PASS,PASS,PASS,0.0,PASS,WINDOW_PASS
D10,KE-H3,HOLDOUT,9.572997093200684,PASS,PASS,PASS,0.00765993265993266,PASS,WINDOW_PASS
D20,KE-1,CALIBRATION,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,KE-2,CALIBRATION,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,AG-1,CALIBRATION,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,AG-2,CALIBRATION,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,KE-H1,HOLDOUT,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,KE-H2,HOLDOUT,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
D20,KE-H3,HOLDOUT,N/A,NOT_ACQUIRED,N/A,N/A,N/A,N/A,NOT_ACQUIRED
