drifter_id,unit,role,error_D05_24h,error_D10_24h,error_D15_24h,error_D20_24h,error_D05_48h,error_D10_48h,error_D15_48h,error_D20_48h,error_D05_72h,error_D10_72h,error_D15_72h,error_D20_72h,delta_D05_24h,delta_D10_24h,delta_D20_24h,delta_D05_48h,delta_D10_48h,delta_D20_48h,delta_D05_72h,delta_D10_72h,delta_D20_72h,endpoint_D05_72h,endpoint_D10_72h,endpoint_D15_72h,endpoint_D20_72h,path_D05,path_D10,path_D15,path_D20,sep_D05_D15_24h,sep_D05_D15_48h,sep_D05_D15_72h,sep_D10_D15_24h,sep_D10_D15_48h,sep_D10_D15_72h,sep_D20_D15_24h,sep_D20_D15_48h,sep_D20_D15_72h,observed_72h
127198,AG-1,CALIBRATION,67.793,68.296,69.677,70.341,119.525,120.793,124.876,126.74,138.379,141.261,147.7,150.223,-1.885,-1.381,0.663,-5.351,-4.083,1.864,-9.321,-6.439,2.524,176.339,173.538,166.876,164.148,189.192,187.229,181.07,178.324,2.163,6.441,9.589,1.436,4.705,6.707,0.668,2.099,2.728,308.466
127199,AG-1,CALIBRATION,69.244,69.761,71.146,71.814,119.711,120.965,125.036,126.897,137.045,139.94,146.416,148.951,-1.902,-1.385,0.668,-5.325,-4.07,1.862,-9.371,-6.476,2.535,177.89,175.072,168.361,165.618,191.064,189.092,182.888,180.126,2.16,6.406,9.644,1.432,4.688,6.75,0.671,2.097,2.744,308.854
127272,AG-1,CALIBRATION,19.448,18.596,18.05,17.917,54.773,53.479,52.823,52.692,96.086,96.152,96.523,96.656,1.399,0.546,-0.133,1.951,0.657,-0.131,-0.437,-0.372,0.133,168.42,168.178,168.331,168.423,168.447,168.218,168.387,168.485,2.136,3.524,1.847,0.963,1.474,0.8,0.29,0.385,0.181,80.755
127313,AG-1,CALIBRATION,130.606,131.334,131.891,132.047,288.712,289.465,289.961,290.088,416.501,416.485,416.26,416.107,-1.285,-0.557,0.156,-1.25,-0.496,0.127,0.24,0.225,-0.154,54.567,54.456,54.514,54.605,54.781,54.717,54.842,54.966,1.685,1.557,0.332,0.716,0.604,0.24,0.194,0.139,0.154,449.489
127314,AG-1,CALIBRATION,45.006,45.539,45.859,45.932,75.211,76.514,77.404,77.623,61.345,62.645,63.504,63.694,-0.853,-0.319,0.073,-2.192,-0.889,0.22,-2.159,-0.859,0.19,128.542,130.411,131.752,132.097,161.932,165.074,167.418,168.069,1.329,2.672,3.21,0.532,1.116,1.344,0.139,0.299,0.352,98.763
127315,AG-1,CALIBRATION,35.475,34.825,34.539,34.514,82.51,82.672,83.472,83.908,140.565,141.847,143.744,144.559,0.936,0.286,-0.025,-0.962,-0.8,0.437,-3.18,-1.897,0.815,320.141,321.424,323.313,324.124,328.852,330.507,332.85,333.838,1.095,1.823,3.181,0.506,1.097,1.897,0.221,0.503,0.815,181.032
132511,AG-1,CALIBRATION,46.584,46.063,45.029,44.367,102.078,101.343,99.332,97.583,150.232,151.886,151.207,148.982,1.554,1.033,-0.662,2.745,2.011,-1.75,-0.975,0.678,-2.225,237.175,238.905,238.377,236.243,247.89,249.52,248.764,246.466,1.89,2.893,2.16,1.232,2.09,1.386,0.75,1.783,2.315,90.051
132528,AG-1,CALIBRATION,39.883,40.506,41.109,41.537,98.801,99.192,99.499,99.722,67.749,67.18,66.626,66.42,-1.226,-0.604,0.428,-0.698,-0.307,0.223,1.124,0.555,-0.205,17.857,18.484,19.203,19.606,23.261,23.964,24.573,24.751,1.276,0.819,1.905,0.615,0.403,1.165,0.429,0.258,0.92,85.528
132634,AG-1,CALIBRATION,28.467,27.811,27.383,27.267,54.771,54.212,53.507,53.243,103.012,102.509,101.496,101.041,1.084,0.428,-0.116,1.264,0.706,-0.263,1.516,1.012,-0.455,123.765,124.552,124.846,124.806,153.24,155.427,156.945,157.337,1.099,2.311,2.213,0.461,1.012,1.192,0.135,0.311,0.466,135.1
127281,AG-2,CALIBRATION,27.501,27.986,28.432,28.562,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-0.931,-0.445,0.131,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,267.347,266.908,267.569,267.662,1.184,NOT_AVAILABLE,NOT_AVAILABLE,0.527,NOT_AVAILABLE,NOT_AVAILABLE,0.132,NOT_AVAILABLE,NOT_AVAILABLE,352.788
71155,KE-1,CALIBRATION,78.113,77.509,76.952,76.761,172.684,170.867,169.072,168.429,327.405,327.037,325.969,325.434,1.161,0.557,-0.192,3.612,1.795,-0.642,1.435,1.067,-0.535,350.286,350.352,349.635,349.226,374.853,374.997,374.344,373.938,1.163,4.046,2.367,0.557,1.975,1.31,0.192,0.693,0.588,127.48
81801,KE-1,CALIBRATION,48.639,47.624,46.234,45.596,82.661,81.324,80.256,80.154,91.035,90.077,89.781,90.225,2.405,1.39,-0.638,2.405,1.068,-0.102,1.253,0.296,0.444,68.929,68.103,66.534,65.608,71.948,71.114,69.825,69.19,2.43,2.974,2.395,1.39,1.706,1.696,0.678,1.033,1.443,78.333
81805,KE-1,CALIBRATION,20.455,21.397,22.646,23.309,27.758,28.957,30.398,31.194,25.156,26.686,28.201,28.871,-2.191,-1.248,0.663,-2.639,-1.44,0.796,-3.045,-1.514,0.67,72.114,73.764,75.353,76.022,82.576,85.222,88.04,89.3,2.477,3.465,3.563,1.356,1.768,1.713,0.67,0.834,0.67,47.347
81807,KE-1,CALIBRATION,6.338,7.193,8.196,8.641,13.121,14.019,15.75,16.694,23.596,27.683,32.042,33.642,-1.858,-1.004,0.444,-2.628,-1.731,0.945,-8.446,-4.359,1.6,25.195,23.216,22.685,22.693,31.726,32.259,32.803,32.792,2.442,7.777,13.877,1.367,4.108,6.686,0.661,1.84,2.476,21.291
81811,KE-1,CALIBRATION,40.301,40.25,40.522,40.767,45.807,45.826,46.395,46.849,19.521,18.705,18.783,18.964,-0.221,-0.272,0.245,-0.588,-0.569,0.454,0.738,-0.078,0.181,30.381,28.061,26.077,25.679,68.424,64.563,60.684,59.446,2.106,2.509,5.589,1.111,1.152,2.484,0.51,0.478,0.423,41.423
81813,KE-1,CALIBRATION,2.159,1.861,2.66,3.348,11.53,11.117,11.886,12.776,30.422,28.854,26.913,26.476,-0.501,-0.799,0.689,-0.356,-0.769,0.89,3.509,1.941,-0.437,85.388,83.229,79.473,77.637,96.999,94.698,90.149,87.708,3.508,6.609,9.376,2.206,4.013,6.04,1.06,1.869,3.04,99.084
81814,KE-1,CALIBRATION,20.128,19.891,19.585,19.468,45.234,43.405,41.577,40.89,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.543,0.306,-0.117,3.657,1.827,-0.687,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,209.641,212.603,215.731,216.743,1.224,5.182,NOT_AVAILABLE,0.593,2.516,NOT_AVAILABLE,0.207,0.897,NOT_AVAILABLE,204.736
81816,KE-1,CALIBRATION,23.419,24.465,25.44,25.813,44.081,46.002,47.664,48.228,59.263,61.665,63.535,64.098,-2.021,-0.975,0.373,-3.582,-1.662,0.565,-4.272,-1.869,0.564,75.243,77.738,79.647,80.218,75.429,77.889,79.782,80.349,2.326,4.387,4.906,1.078,1.929,2.031,0.395,0.623,0.582,16.535
48965,KE-2,CALIBRATION,8.712,8.51,9.577,9.826,6.548,4.8,7.082,7.723,10.817,12.699,10.262,10.008,-0.865,-1.068,0.249,-0.534,-2.282,0.641,0.554,2.437,-0.254,43.172,49.19,45.219,43.762,44.522,51.002,47.219,45.757,2.179,2.374,2.084,1.091,2.282,4.954,0.253,0.642,1.765,49.759
81802,KE-2,CALIBRATION,19.206,18.385,14.04,12.161,41.151,40.288,33.725,31.285,57.322,57.002,50.99,48.595,5.167,4.345,-1.879,7.426,6.563,-2.44,6.332,6.011,-2.395,63.061,64.317,67.628,69.287,67.815,67.298,68.565,69.956,7.564,8.303,6.361,5.782,7.054,6.047,2.034,2.463,2.396,108.571
90141,KE-2,CALIBRATION,14.828,9.153,4.427,4.883,28.376,20.158,15.402,16.616,37.212,25.872,14.977,15.626,10.401,4.726,0.456,12.975,4.756,1.214,22.235,10.895,0.649,107.713,96.702,82.95,82.171,112.56,101.148,87.533,87.196,10.993,18.037,25.274,5.775,11.292,16.046,0.962,2.025,2.272,70.905
90142,KE-2,CALIBRATION,22.942,22.447,20.568,20.085,39.168,40.632,37.503,36.336,53.633,57.652,51.677,49.555,2.374,1.879,-0.483,1.665,3.129,-1.167,1.956,5.975,-2.122,17.018,24.949,20.751,18.086,19.278,26.81,22.883,20.471,3.891,8.37,13.394,1.887,3.139,6.23,0.744,1.773,2.665,37.048
90145,KE-2,CALIBRATION,15.723,12.467,11.536,11.956,17.648,9.662,8.884,9.399,33.663,24.227,21.727,21.681,4.187,0.931,0.42,8.764,0.778,0.515,11.935,2.5,-0.046,105.833,107.316,115.598,116.316,134.812,127.669,128.603,129.031,5.381,16.831,35.087,2.657,8.271,17.411,0.559,0.581,0.924,131.458
48985,KE-H1,HOLDOUT,7.705,9.403,10.273,10.377,17.767,15.709,11.849,11.392,32.236,28.476,22.839,21.763,-2.569,-0.871,0.104,5.918,3.859,-0.457,9.398,5.637,-1.076,43.284,32.377,15.274,16.421,45.493,33.984,17.581,18.29,4.652,14.175,28.093,2.05,8.506,17.522,0.104,1.253,1.359,31.456
81806,KE-H1,HOLDOUT,2.185,2.261,2.992,3.354,1.319,3.082,4.796,5.501,4.387,5.752,7.037,7.652,-0.807,-0.731,0.362,-3.477,-1.715,0.704,-2.65,-1.286,0.614,44.093,43.493,44.501,45.324,44.209,43.541,44.533,45.356,2.08,3.663,5.724,0.949,1.734,2.931,0.375,0.77,1.348,48.477
90135,KE-H1,HOLDOUT,22.688,26.938,31.961,32.543,34.714,39.092,56.083,59.905,44.091,40.642,57.508,63.06,-9.273,-5.023,0.582,-21.369,-16.992,3.822,-13.417,-16.866,5.552,72.29,91.76,126.318,132.756,72.797,93.708,130.913,138.167,13.915,39.949,55.303,6.022,23.286,35.43,0.588,4.013,6.769,104.782
90149,KE-H1,HOLDOUT,18.245,16.957,15.025,14.553,33.818,30.851,26.378,24.805,45.189,38.928,30.524,27.133,3.22,1.933,-0.472,7.44,4.473,-1.573,14.666,8.404,-3.391,19.65,23.308,35.413,39.965,21.654,24.362,35.457,40.082,5.621,14.538,25.003,2.425,7.335,14.253,0.472,1.72,4.552,62.188
90150,KE-H1,HOLDOUT,26.225,29.663,34.495,35.235,29.183,40.731,58.905,62.822,18.713,32.288,69.208,79.96,-8.27,-4.832,0.741,-29.723,-18.174,3.917,-50.496,-36.92,10.752,94.931,80.449,49.739,42.511,103.893,87.635,52.782,43.906,9.538,30.21,54.423,4.936,18.312,38.338,0.775,3.92,10.79,112.667
89898,KE-H3,HOLDOUT,6.956,6.905,6.807,6.758,25.424,25.786,26.06,26.156,48.715,50.559,52.084,52.564,0.149,0.098,-0.049,-0.636,-0.273,0.096,-3.369,-1.525,0.48,105.887,105.198,104.573,104.367,112.449,111.364,110.415,110.11,0.249,1.25,3.445,0.134,0.558,1.548,0.055,0.185,0.485,140.071
90146,KE-H3,HOLDOUT,6.62,6.641,6.766,6.827,17.703,18.497,19.158,19.372,26.32,29.336,31.665,32.343,-0.146,-0.125,0.062,-1.455,-0.661,0.214,-5.344,-2.329,0.679,58.255,56.106,54.39,53.857,58.666,56.484,54.753,54.219,1.463,2.482,5.387,0.642,1.051,2.335,0.189,0.3,0.679,81.357
92981,KE-H3,HOLDOUT,14.547,14.51,14.439,14.39,30.823,31.385,31.834,31.951,33.963,35.522,36.862,37.247,0.108,0.072,-0.049,-1.01,-0.449,0.117,-2.899,-1.34,0.385,122.039,120.997,120.046,119.753,132.814,131.45,130.288,129.938,0.116,1.608,3.498,0.073,0.698,1.534,0.049,0.169,0.414,154.559
98996,KE-H3,HOLDOUT,20.45,19.971,19.701,19.637,47.639,47.137,46.89,46.819,85.224,84.002,83.052,82.712,0.749,0.27,-0.064,0.749,0.247,-0.071,2.172,0.95,-0.34,32.484,31.681,31.315,31.259,33.349,32.268,31.683,31.562,1.538,1.087,2.223,0.724,0.501,0.953,0.265,0.201,0.343,79.433
98997,KE-H3,HOLDOUT,16.469,17.266,17.993,18.239,35.002,36.047,36.955,37.235,51.649,51.903,51.988,51.966,-1.525,-0.727,0.246,-1.953,-0.908,0.279,-0.339,-0.086,-0.022,63.486,63.672,63.693,63.648,70.484,70.575,70.483,70.399,1.704,3.353,2.553,0.829,1.588,1.183,0.288,0.514,0.394,12.151
98998,KE-H3,HOLDOUT,7.308,7.888,8.506,8.737,9.988,9.54,9.4,9.417,14.29,14.223,14.309,14.385,-1.197,-0.617,0.231,0.588,0.14,0.017,-0.019,-0.086,0.076,42.596,41.524,40.461,40.065,44.889,43.47,42.135,41.667,2.131,3.665,2.622,1.039,1.781,1.302,0.392,0.636,0.479,51.185
99006,KE-H3,HOLDOUT,5.197,5.183,5.228,5.244,11.751,11.385,11.096,10.997,23.747,23.959,24.151,24.204,-0.031,-0.044,0.016,0.656,0.289,-0.098,-0.404,-0.192,0.053,16.017,17.347,18.674,19.097,19.066,19.004,19.74,20.066,1.375,1.105,2.663,0.618,0.525,1.333,0.191,0.168,0.428,26.356
