windowId,role,timestamp,grid,comparison,model,reference,glorysDepthMeters,nCells,medianVecDiff,meanVecDiff,minVecDiff,maxVecDiff,p10VecDiff,p25VecDiff,p50VecDiff,p75VecDiff,p90VecDiff,rmsVecDiff,medianAbsDu,medianAbsDv,meanAbsDu,meanAbsDv,medianModelSpeed,medianRefSpeed,meanModelSpeed,meanRefSpeed,nRelSpeed,medianRelSpeedDiff,meanRelSpeedDiff,nDirection,medianAbsDirDiff,meanAbsDirDiff,p10AbsDirDiff,p25AbsDirDiff,p50AbsDirDiff,p75AbsDirDiff,p90AbsDirDiff,medianSignedDirDiff,fractionCW,fractionCCW,fractionZero,pearsonU,pearsonV
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,A,HYCOM,GLORYS,15.81007,3097,0.247723,0.307901,0.002506,1.764883,0.094087,0.154518,0.247723,0.387758,0.613831,0.380909,0.144811,0.147897,0.197702,0.195806,0.317244,0.252824,0.394001,0.325882,3097,0.231008,0.695025,3097,34.97298,49.680335,5.650015,14.934211,34.97298,71.815459,121.65379,-1.394708,0.487892,0.512108,0.0,0.668183,0.632628
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,B,HYCOM,AVISO,15.81007,3097,0.271559,0.326576,0.005844,2.165524,0.098993,0.165674,0.271559,0.416748,0.621905,0.404785,0.149316,0.157158,0.211137,0.204841,0.317244,0.113441,0.394001,0.155256,3091,1.671089,4.80107,3091,45.622813,57.352795,8.437499,20.97882,45.622813,83.386745,131.09394,0.248915,0.502103,0.497897,0.0,0.647126,0.627996
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,C,GLORYS,AVISO,15.81007,3097,0.205346,0.259989,0.00092,1.717768,0.077466,0.125518,0.205346,0.329275,0.503339,0.329837,0.118903,0.117457,0.174458,0.156685,0.252824,0.113441,0.325882,0.155256,3091,1.192229,3.69424,3091,37.560192,51.356741,6.477254,16.916587,37.560192,73.678711,123.863668,-1.235033,0.490456,0.509544,0.0,0.619718,0.684669
KE-1,CALIBRATION,2010-05-12T12:00:00Z,HYCOM_NATIVE_FIELD_DIAGNOSTIC,A,HYCOM,GLORYS,15.81007,33013,0.259791,0.324978,0.002027,1.804352,0.099005,0.161762,0.259791,0.416835,0.644611,0.402844,0.152945,0.152199,0.209365,0.205788,0.335452,0.266073,0.42699,0.356362,33013,0.230224,0.673833,33012,33.891727,48.852684,5.892529,14.557938,33.891727,70.787086,119.581265,-2.621414,0.47822,0.52178,0.0,0.692948,0.642501
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D05,AVISO,5.078224,3097,0.208384,0.265203,0.001744,1.73353,0.081871,0.130976,0.208384,0.338489,0.510447,0.334366,0.121818,0.120735,0.177281,0.159441,0.259657,0.113441,0.329361,0.155256,3091,1.233813,3.750452,3091,38.089294,51.90103,7.071302,16.884737,38.089294,74.530271,123.786336,-1.413389,0.491103,0.508897,0.0,0.625464,0.682392
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D10,AVISO,9.572997,3097,0.205645,0.263107,0.003604,1.726254,0.079244,0.12889,0.205645,0.334927,0.508317,0.332629,0.118898,0.119761,0.175746,0.158757,0.257337,0.113441,0.32815,0.155256,3091,1.214532,3.73409,3091,37.42315,51.629948,6.8036,17.105171,37.42315,73.467661,124.161002,-1.247261,0.492397,0.507603,0.0,0.623653,0.683404
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D15,AVISO,15.81007,3097,0.205346,0.259989,0.00092,1.717768,0.077466,0.125518,0.205346,0.329275,0.503339,0.329837,0.118903,0.117457,0.174458,0.156685,0.252824,0.113441,0.325882,0.155256,3091,1.192229,3.69424,3091,37.560192,51.356741,6.477254,16.916587,37.560192,73.678711,123.863668,-1.235033,0.490456,0.509544,0.0,0.619718,0.684669
KE-1,CALIBRATION,2010-05-12T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D20,AVISO,18.49556,3096,0.204311,0.258521,0.000533,1.714737,0.076128,0.125473,0.204311,0.328555,0.501284,0.328422,0.119543,0.114797,0.174064,0.155474,0.252412,0.113459,0.324841,0.155296,3090,1.168943,3.674601,3090,37.016028,51.15026,6.201667,16.763992,37.016028,73.370753,124.517121,-1.833932,0.484142,0.515858,0.0,0.617875,0.685289
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,A,HYCOM,GLORYS,15.81007,2852,0.257163,0.333008,0.003386,2.156312,0.0877,0.150274,0.257163,0.434558,0.673816,0.424396,0.148501,0.14375,0.214914,0.206723,0.310016,0.257668,0.411159,0.352348,2852,0.208298,0.866024,2852,35.334626,50.640161,5.569184,14.288473,35.334626,76.909724,125.539468,-3.652305,0.464586,0.535414,0.0,0.66837,0.586544
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,B,HYCOM,AVISO,15.81007,2852,0.272042,0.340807,0.006346,1.849077,0.087837,0.161416,0.272042,0.437924,0.690961,0.430244,0.163118,0.142164,0.225873,0.203589,0.310016,0.104826,0.411159,0.157042,2845,1.849302,7.854003,2845,42.075847,56.205974,6.205071,17.594096,42.075847,85.536864,135.076461,-2.192105,0.481898,0.518102,0.0,0.650487,0.648676
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,C,GLORYS,AVISO,15.81007,2852,0.210504,0.284445,0.006866,1.784175,0.069793,0.123443,0.210504,0.36151,0.57914,0.374091,0.132695,0.110263,0.205784,0.156182,0.257668,0.104826,0.352348,0.157042,2845,1.318942,6.770877,2845,39.366276,53.438012,6.167048,16.739106,39.366276,80.300483,127.709816,-1.03799,0.486819,0.513181,0.0,0.62574,0.711761
KE-2,CALIBRATION,2010-06-30T12:00:00Z,HYCOM_NATIVE_FIELD_DIAGNOSTIC,A,HYCOM,GLORYS,15.81007,30667,0.268472,0.344174,0.000301,2.233034,0.089954,0.156041,0.268472,0.445345,0.701058,0.4399,0.152958,0.151655,0.220157,0.216857,0.327246,0.267458,0.431555,0.366996,30667,0.217125,0.832896,30665,34.235933,49.90699,5.422501,14.116134,34.235933,73.992305,123.450781,-3.845867,0.462188,0.537812,0.0,0.67951,0.565819
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D05,AVISO,5.078224,2852,0.223232,0.299993,0.005834,1.82321,0.081968,0.137213,0.223232,0.384543,0.600264,0.38795,0.141007,0.118377,0.215993,0.164338,0.26784,0.104826,0.364735,0.157042,2845,1.467627,7.931697,2845,43.056317,56.119884,6.635274,17.487281,43.056317,84.010315,131.99019,-0.649095,0.496309,0.503691,0.0,0.617128,0.707987
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D10,AVISO,9.572997,2852,0.214554,0.291328,0.003818,1.802905,0.073933,0.129368,0.214554,0.374357,0.589447,0.380886,0.135877,0.113,0.211322,0.158777,0.260698,0.104826,0.357963,0.157042,2845,1.38851,7.372914,2845,40.71621,54.525665,6.462841,16.882604,40.71621,81.976666,129.781041,-1.253341,0.489631,0.510369,0.0,0.621757,0.713519
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D15,AVISO,15.81007,2852,0.210504,0.284445,0.006866,1.784175,0.069793,0.123443,0.210504,0.36151,0.57914,0.374091,0.132695,0.110263,0.205784,0.156182,0.257668,0.104826,0.352348,0.157042,2845,1.318942,6.770877,2845,39.366276,53.438012,6.167048,16.739106,39.366276,80.300483,127.709816,-1.03799,0.486819,0.513181,0.0,0.62574,0.711761
KE-2,CALIBRATION,2010-06-30T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D20,AVISO,18.49556,2850,0.208468,0.283332,0.001227,1.780198,0.071091,0.123846,0.208468,0.361531,0.576539,0.37218,0.132815,0.110912,0.204609,0.155988,0.256945,0.104894,0.351326,0.157133,2843,1.308339,6.726587,2843,39.639691,53.431227,5.962494,16.658244,39.639691,80.183159,127.711472,-1.079245,0.48892,0.51108,0.0,0.6265,0.710921
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,A,HYCOM,GLORYS,15.81007,3351,0.24469,0.304969,0.007435,1.852688,0.085311,0.146991,0.24469,0.388193,0.605992,0.383751,0.14266,0.139705,0.197549,0.190408,0.29986,0.282383,0.387929,0.388404,3351,0.05554,0.53061,3351,32.257246,46.216826,5.764984,14.499028,32.257246,64.094511,112.36207,-1.422258,0.487019,0.512981,0.0,0.735829,0.653413
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,B,HYCOM,AVISO,15.81007,3351,0.247832,0.297827,0.003054,1.620322,0.085702,0.145129,0.247832,0.385402,0.561406,0.368473,0.151955,0.128428,0.207536,0.168981,0.29986,0.130179,0.387929,0.188316,3339,1.171213,3.468994,3339,37.092815,51.210537,6.018155,15.546643,37.092815,73.315704,127.693695,0.575777,0.504942,0.495058,0.0,0.760561,0.71241
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,C,GLORYS,AVISO,15.81007,3351,0.222723,0.303404,0.003616,1.876401,0.075016,0.130549,0.222723,0.389277,0.6239,0.402097,0.143422,0.112346,0.211719,0.169948,0.282383,0.130179,0.388404,0.188316,3339,1.072268,3.473393,3339,35.056726,48.545841,5.99069,14.945836,35.056726,69.820674,116.342447,1.769732,0.518419,0.481581,0.0,0.668007,0.717635
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,HYCOM_NATIVE_FIELD_DIAGNOSTIC,A,HYCOM,GLORYS,15.81007,37616,0.245285,0.309044,0.001073,1.948756,0.086257,0.147327,0.245285,0.396212,0.632486,0.388927,0.143841,0.140185,0.201318,0.192244,0.303962,0.28373,0.409411,0.400361,37616,0.067204,0.503007,37613,31.8498,45.614845,5.283116,14.127137,31.8498,63.546385,112.174222,-0.946038,0.490176,0.509824,0.0,0.756202,0.680529
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D05,AVISO,5.078224,3351,0.243948,0.32567,0.002991,2.03763,0.081362,0.141166,0.243948,0.422696,0.662841,0.427917,0.162345,0.112842,0.235744,0.173382,0.293115,0.130179,0.403893,0.188316,3339,1.144668,3.786945,3339,38.961101,52.069592,6.207417,17.456016,38.961101,75.962382,122.318105,2.831066,0.523211,0.476789,0.0,0.667357,0.716506
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D10,AVISO,9.572997,3351,0.230938,0.313339,0.005056,1.950205,0.07787,0.134675,0.230938,0.408626,0.641658,0.414823,0.149083,0.111236,0.222377,0.170966,0.284242,0.130179,0.395436,0.188316,3339,1.088162,3.594693,3339,36.874591,50.096852,6.323771,15.62198,36.874591,72.731957,121.134268,2.556649,0.520515,0.479485,0.0,0.665966,0.718258
