drifter_id,unit,role,error_C002_24h,error_T002_24h,error_C0_24h,error_T0_24h,error_C002_48h,error_T002_48h,error_C0_48h,error_T0_48h,error_C002_72h,error_T002_72h,error_C0_72h,error_T0_72h,delta_24h,delta_48h,delta_72h,deltaS_24h,deltaS_48h,deltaS_72h,endpoint_C002_72h,endpoint_T002_72h,endpoint_C0_72h,endpoint_T0_72h,path_C002,path_T002,path_C0,path_T0,sep_T002_C002_24h,sep_T002_C002_48h,sep_T002_C002_72h,sep_T0_C0_24h,sep_T0_C0_48h,sep_T0_C0_72h,observed_72h
127198,AG-1,CALIBRATION,69.677,68.808,68.984,68.111,124.876,127.627,122.818,125.567,147.7,151.486,146.58,150.22,-0.869,2.751,3.786,-0.872,2.749,3.64,166.876,162.399,168.663,164.238,181.07,175.276,183.707,177.834,1.272,2.816,4.581,1.274,2.795,4.557,308.466
127199,AG-1,CALIBRATION,71.146,70.192,70.46,69.502,125.036,127.746,122.981,125.689,146.416,150.141,145.292,148.883,-0.954,2.71,3.725,-0.958,2.709,3.591,168.361,163.947,170.149,165.774,182.888,177.137,185.529,179.69,1.319,2.786,4.531,1.321,2.766,4.52,308.854
127272,AG-1,CALIBRATION,18.05,21.655,16.675,20.228,52.823,63.744,50.142,61.061,96.523,101.871,95.488,101.184,3.606,10.921,5.347,3.553,10.919,5.696,168.331,175.164,166.978,174.226,168.387,175.376,167.039,174.413,3.777,12.633,8.229,3.778,12.8,8.595,80.755
127313,AG-1,CALIBRATION,131.891,129.183,132.895,130.183,289.961,281.682,290.97,283.544,416.26,408.388,416.222,410.469,-2.708,-8.28,-7.872,-2.712,-7.426,-5.753,54.514,62.328,54.13,60.562,54.842,62.727,54.555,60.935,4.323,12.343,8.786,4.304,11.524,6.877,449.489
127314,AG-1,CALIBRATION,45.859,42.785,47.062,44.019,77.404,65.841,80.587,68.901,63.504,57.069,65.867,59.424,-3.074,-11.563,-6.434,-3.043,-11.685,-6.443,131.752,132.163,133.074,133.794,167.418,171.581,169.792,173.917,3.598,11.696,9.565,3.594,11.834,10.008,98.763
127315,AG-1,CALIBRATION,34.539,38.567,33.197,37.213,83.472,94.203,81.627,92.496,143.744,151.598,143.328,151.266,4.028,10.731,7.854,4.016,10.87,7.937,323.313,330.868,322.934,330.573,332.85,341.736,332.273,341.216,4.443,11.009,8.185,4.456,11.138,8.269,181.032
132511,AG-1,CALIBRATION,45.029,43.539,45.063,43.597,99.332,100.565,99.767,101.077,151.207,144.8,155.836,149.671,-1.491,1.233,-6.408,-1.466,1.31,-6.165,238.377,231.805,243.032,236.699,248.764,242.234,253.526,247.238,1.652,1.259,6.637,1.631,1.335,6.416,90.051
132528,AG-1,CALIBRATION,41.109,36.645,42.129,37.632,99.499,89.126,100.648,90.386,66.626,63.063,66.225,62.768,-4.465,-10.373,-3.563,-4.497,-10.263,-3.457,19.203,22.569,19.797,22.803,24.573,27.746,26.012,27.641,5.711,11.391,5.983,5.696,11.313,6.079,85.528
132634,AG-1,CALIBRATION,27.383,27.528,26.572,26.577,53.507,46.098,54.676,46.502,101.496,83.442,105.516,85.226,0.145,-7.409,-18.054,0.005,-8.174,-20.29,124.846,117.637,126.731,119.891,156.945,154.233,158.632,157.818,4.669,10.675,18.363,4.683,10.868,20.368,135.1
127281,AG-2,CALIBRATION,28.432,25.469,29.091,26.04,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,-2.963,NOT_AVAILABLE,NOT_AVAILABLE,-3.051,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,267.569,266.832,268.4,267.852,6.796,NOT_AVAILABLE,NOT_AVAILABLE,6.757,NOT_AVAILABLE,NOT_AVAILABLE,352.788
71155,KE-1,CALIBRATION,76.952,74.23,75.276,72.503,169.072,179.449,164.446,175.403,325.969,335.192,324.011,334.908,-2.722,10.377,9.223,-2.773,10.957,10.897,349.635,357.029,348.61,357.662,374.344,382.227,373.916,383.283,3.003,11.09,9.81,3.065,11.643,11.321,127.48
81801,KE-1,CALIBRATION,46.234,49.903,44.936,48.521,80.256,89.97,77.676,87.791,89.781,100.746,87.345,98.973,3.668,9.714,10.964,3.585,10.115,11.628,66.534,67.251,66.53,67.622,69.825,71.696,69.698,71.721,6.685,11.509,12.982,6.695,11.738,13.368,78.333
81805,KE-1,CALIBRATION,22.646,21.952,23.689,22.697,30.398,27.596,31.216,27.869,28.201,20.494,29.74,21.592,-0.694,-2.801,-7.707,-0.992,-3.347,-8.148,75.353,66.081,77.05,67.985,88.04,77.104,90.903,80.076,5.509,9.866,11.37,5.496,9.693,11.04,47.347
81807,KE-1,CALIBRATION,8.196,5.354,9.775,6.174,15.75,6.398,18.783,7.086,32.042,17.333,36.818,15.735,-2.843,-9.351,-14.709,-3.601,-11.697,-21.083,22.685,35.496,24.208,30.905,32.803,37.925,35.798,32.996,6.769,13.388,35.984,6.633,14.805,35.709,21.291
81811,KE-1,CALIBRATION,40.522,44.357,39.776,43.541,46.395,49.24,45.78,47.478,18.783,22.779,19.746,19.176,3.835,2.845,3.996,3.765,1.698,-0.569,26.077,38.858,22.116,34.328,60.684,73.271,55.448,68.322,4.179,9.421,14.896,4.182,9.457,15.366,41.423
81813,KE-1,CALIBRATION,2.66,2.639,3.547,3.38,11.886,11.787,12.294,11.226,26.913,28.966,26.537,27.685,-0.021,-0.099,2.053,-0.167,-1.068,1.148,79.473,87.923,77.782,86.159,90.149,99.595,88.571,98.126,1.615,5.654,10.738,1.606,5.746,10.902,99.084
81814,KE-1,CALIBRATION,19.585,20.643,20.119,21.185,41.577,41.838,40.744,40.851,NOT_AVAILABLE,NOT_AVAILABLE,26.087,NOT_AVAILABLE,1.058,0.261,NOT_AVAILABLE,1.066,0.107,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,211.339,NOT_AVAILABLE,215.731,205.977,215.524,208.298,1.714,2.731,NOT_AVAILABLE,1.7,2.71,NOT_AVAILABLE,204.736
