drifter_id,unit,role,error_CAND_24h,error_HYCOM_24h,delta_24h,sep_CAND_HYCOM_24h,error_CAND_48h,error_HYCOM_48h,delta_48h,sep_CAND_HYCOM_48h,error_CAND_72h,error_HYCOM_72h,delta_72h,sep_CAND_HYCOM_72h,endpoint_CAND_72h,endpoint_HYCOM_72h,path_CAND,path_HYCOM,observed_72h,threeway_A_HYCOM_24h,threeway_B_GLORYS_24h,threeway_C_STOKES_24h,threeway_A_HYCOM_48h,threeway_B_GLORYS_48h,threeway_C_STOKES_48h,threeway_A_HYCOM_72h,threeway_B_GLORYS_72h,threeway_C_STOKES_72h
127198,AG-1,CALIBRATION,68.808,143.319,-74.511,75.156,127.627,238.223,-110.597,180.414,151.486,323.38,-171.894,253.811,162.399,210.616,175.276,241.654,308.466,143.319,69.677,68.808,238.223,124.876,127.627,323.38,147.7,151.486
127199,AG-1,CALIBRATION,70.192,144.38,-74.188,74.754,127.746,237.391,-109.645,179.862,150.141,319.828,-169.687,250.741,163.947,209.404,177.137,240.659,308.854,144.38,71.146,70.192,237.391,125.036,127.746,319.828,146.416,150.141
127272,AG-1,CALIBRATION,21.655,27.47,-5.815,23.708,63.744,55.056,8.687,39.756,101.871,106.115,-4.244,41.986,175.164,186.183,175.376,188.312,80.755,27.47,18.05,21.655,55.056,52.823,63.744,106.115,96.523,101.871
127313,AG-1,CALIBRATION,129.183,63.55,65.633,66.26,281.682,142.936,138.746,151.428,408.388,238.212,170.176,222.842,62.328,240.965,62.727,255.853,449.489,63.55,131.891,129.183,142.936,289.961,281.682,238.212,416.26,408.388
127314,AG-1,CALIBRATION,42.785,47.299,-4.515,7.66,65.841,60.676,5.165,12.106,57.069,45.89,11.179,13.037,132.163,128.458,171.581,166.418,98.763,47.299,45.859,42.785,60.676,77.404,65.841,45.89,63.504,57.069
127315,AG-1,CALIBRATION,38.567,23.293,15.274,61.695,94.203,44.649,49.554,110.564,151.598,56.37,95.228,177.941,330.868,182.984,341.736,186.979,181.032,23.293,34.539,38.567,44.649,83.472,94.203,56.37,143.744,151.598
132511,AG-1,CALIBRATION,43.539,39.952,3.587,49.299,100.565,55.875,44.69,137.618,144.8,105.167,39.633,219.233,231.805,122.398,242.234,125.485,90.051,39.952,45.029,43.539,55.875,99.332,100.565,105.167,151.207,144.8
132528,AG-1,CALIBRATION,36.645,25.126,11.519,29.894,89.126,19.304,69.822,72.995,63.063,65.919,-2.857,124.785,22.569,146.033,27.746,152.088,85.528,25.126,41.109,36.645,19.304,99.499,89.126,65.919,66.626,63.063
132634,AG-1,CALIBRATION,27.528,34.178,-6.65,10.485,46.098,75.794,-29.696,29.805,83.442,123.195,-39.753,52.906,117.637,88.772,154.233,108.383,135.1,34.178,27.383,27.528,75.794,53.507,46.098,123.195,101.496,83.442
127281,AG-2,CALIBRATION,25.469,116.865,-91.396,116.815,NOT_AVAILABLE,232.889,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,331.318,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,23.912,266.832,49.933,352.788,116.865,28.432,25.469,232.889,NOT_AVAILABLE,NOT_AVAILABLE,331.318,NOT_AVAILABLE,NOT_AVAILABLE
71155,KE-1,CALIBRATION,74.23,18.379,55.852,56.006,179.449,37.036,142.413,142.669,335.192,102.331,232.861,234.01,357.029,172.16,382.227,184.774,127.48,18.379,76.952,74.23,37.036,169.072,179.449,102.331,325.969,335.192
81801,KE-1,CALIBRATION,49.903,6.03,43.872,53.91,89.97,18.216,71.754,92.499,100.746,16.207,84.539,104.569,67.251,70.923,71.696,87.431,78.333,6.03,46.234,49.903,18.216,80.256,89.97,16.207,89.781,100.746
