stratum,role,horizon_h,n_drifters,n_paired,not_available,cand_median,cand_mean,cand_min,cand_max,hycom_median,hycom_mean,hycom_min,hycom_max,delta_median,delta_mean,delta_min,delta_max,wins_candidate,losses_candidate,ties,sep_median
overall,OVERALL,24,35,35,0,21.655,28.161,1.764,129.183,17.762,29.388,1.487,144.38,0.037,-1.226,-91.396,65.633,17,18,0,21.482
overall,OVERALL,48,35,34,1,35.658,55.833,5.273,281.682,33.601,48.408,5.112,238.223,2.749,7.425,-110.597,142.413,13,21,0,39.417
overall,OVERALL,72,35,33,2,44.652,75.065,5.529,408.388,48.81,76.674,10.265,323.38,-4.244,-1.609,-171.894,232.861,19,14,0,52.116
calibration,CALIBRATION,24,23,23,0,25.469,35.566,2.639,129.183,25.126,37.624,1.487,144.38,3.587,-2.058,-91.396,65.633,10,13,0,29.894
calibration,CALIBRATION,48,23,22,1,47.669,70.722,5.273,281.682,38.031,61.121,5.112,238.223,3.761,9.601,-110.597,142.413,9,13,0,57.02
calibration,CALIBRATION,72,23,21,2,57.069,97.139,12.056,408.388,59.055,98.434,16.207,323.38,-4.244,-1.296,-171.894,232.861,13,8,0,89.667
holdout,HOLDOUT,24,12,12,0,10.314,13.968,1.764,37.918,13.437,13.601,1.941,23.705,-2.342,0.367,-20.638,17.231,7,5,0,19.242
holdout,HOLDOUT,48,12,12,0,21.774,28.537,7.566,62.962,22.142,25.101,6.096,58.664,2.305,3.436,-30.924,31.779,4,8,0,34.215
holdout,HOLDOUT,72,12,12,0,28.914,36.436,5.529,97.454,31.308,38.592,10.265,90.497,0.881,-2.156,-40.272,34.125,6,6,0,42.492
KE-1,CALIBRATION,24,8,8,0,22.513,30.269,2.639,74.23,13.999,14.762,6.03,26.129,7.815,15.507,-9.748,55.852,2,6,0,28.442
KE-1,CALIBRATION,48,8,8,0,39.422,55.411,6.398,179.449,27.56,25.98,5.112,39.026,6.286,29.431,-12.28,142.413,3,5,0,44.568
KE-1,CALIBRATION,72,8,7,1,28.966,81.452,17.333,335.192,43.692,46.917,16.207,102.331,-10.989,34.535,-36.276,232.861,4,3,0,76.277
KE-2,CALIBRATION,24,5,5,0,13.945,14.301,9.865,18.575,14.072,16.365,1.487,28.443,0.037,-2.064,-16.365,12.458,2,3,0,16.903
KE-2,CALIBRATION,48,5,5,0,29.476,23.194,5.273,34.31,30.812,41.386,7.466,77.943,-15.728,-18.192,-54.792,26.844,3,2,0,32.633
KE-2,CALIBRATION,72,5,5,0,39.643,31.578,12.056,49.226,44.239,70.926,20.569,158.931,-8.514,-39.348,-119.287,22.519,4,1,0,50.924
AG-1,CALIBRATION,24,9,9,0,42.785,53.211,21.655,129.183,39.952,60.952,23.293,144.38,-4.515,-7.741,-74.511,65.633,5,4,0,49.299
AG-1,CALIBRATION,48,9,9,0,94.203,110.737,46.098,281.682,60.676,103.323,19.304,238.223,8.687,7.414,-110.597,138.746,3,6,0,110.564
AG-1,CALIBRATION,72,9,9,0,144.8,145.762,57.069,408.388,106.115,153.786,45.89,323.38,-2.857,-8.024,-171.894,170.176,5,4,0,177.941
AG-2,CALIBRATION,24,1,1,0,25.469,25.469,25.469,25.469,116.865,116.865,116.865,116.865,-91.396,-91.396,-91.396,-91.396,1,0,0,116.815
AG-2,CALIBRATION,48,1,0,1,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,0,0,NOT_AVAILABLE
AG-2,CALIBRATION,72,1,0,1,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,0,0,NOT_AVAILABLE
KE-H1,HOLDOUT,24,5,5,0,12.722,19.563,5.975,37.918,8.223,11.895,1.941,23.705,8.633,7.668,-0.593,14.213,1,4,0,15.284
KE-H1,HOLDOUT,48,5,5,0,21.517,31.737,7.566,61.804,21.544,24.538,6.096,58.664,3.14,7.2,-13.026,31.779,1,4,0,29.655
KE-H1,HOLDOUT,72,5,5,0,26.355,34.766,5.529,64.032,24.444,38.464,12.091,89.37,-6.563,-3.698,-29.467,34.125,3,2,0,42.85
KE-H3,HOLDOUT,24,7,7,0,8.827,9.972,1.764,29.53,13.802,14.82,7.39,22.802,-4.245,-4.849,-20.638,17.231,6,1,0,20.449
KE-H3,HOLDOUT,48,7,7,0,22.032,26.252,12.355,62.962,22.74,25.504,12.402,43.279,0.824,0.747,-30.924,27.836,3,4,0,36.49
KE-H3,HOLDOUT,72,7,7,0,29.904,37.629,10.81,97.454,33.118,38.684,10.265,90.497,6.958,-1.055,-40.272,24.124,3,4,0,42.135
