drifter_id,unit,role,error_A_3H_24h,error_B_DAILY_24h,delta_24h,sep_B_A_24h,error_A_3H_48h,error_B_DAILY_48h,delta_48h,sep_B_A_48h,error_A_3H_72h,error_B_DAILY_72h,delta_72h,sep_B_A_72h,endpoint_A_72h,endpoint_B_72h,path_A,path_B,observed_72h
39974,KE-X1,NEW_HOLDOUT,42.782,41.525,-1.258,2.73,82.876,88.814,5.937,6.207,109.889,116.094,6.206,9.273,155.578,158.08,165.207,162.074,74.861
39986,KE-X1,NEW_HOLDOUT,45.487,44.985,-0.502,1.691,95.484,85.125,-10.359,15.377,153.455,145.218,-8.237,22.697,206.961,189.129,221.784,203.274,102.707
39994,KE-X1,NEW_HOLDOUT,12.279,17.157,4.878,5.301,22.515,19.267,-3.247,3.316,33.208,28.618,-4.59,8.733,25.765,22.692,69.994,26.036,8.575
39995,KE-X1,NEW_HOLDOUT,9.397,1.625,-7.772,7.844,45.776,54.942,9.166,10.378,105.09,109.622,4.532,14.154,110.014,123.76,136.591,152.637,108.109
39996,KE-X1,NEW_HOLDOUT,66.335,70.746,4.411,8.098,91.796,105.473,13.677,14.308,139.978,156.39,16.412,20.506,71.143,90.053,80.106,95.035,72.735
39997,KE-X1,NEW_HOLDOUT,14.486,8.239,-6.248,7.608,33.593,39.623,6.03,7.067,32.177,46.401,14.224,15.012,48.935,61.512,85.238,64.723,19.733
92958,KE-X1,NEW_HOLDOUT,13.692,14.436,0.744,0.807,31.669,30.072,-1.597,2.809,48.068,46.093,-1.975,2.099,41.196,39.904,44.466,40.414,25.081
98924,KE-X1,NEW_HOLDOUT,18.163,13.45,-4.713,5.746,50.14,52.445,2.305,8.297,71.856,75.48,3.624,5.773,25.93,26.804,73.956,29.612,52.637
40006,KE-X2,NEW_HOLDOUT,13.715,15.945,2.23,3.521,22.376,22.473,0.097,0.269,24.061,28.511,4.45,5.741,46.139,45.302,60.326,45.902,39.392
47591,KE-X3,NEW_HOLDOUT,15.81,14.688,-1.122,1.575,41.797,36.869,-4.928,7.282,34.081,29.108,-4.973,5.416,75.515,70.379,79.953,70.599,53.678
