drifter_id,window,rank,error_A_24h,error_B_24h,error_C_24h,delta_CA_24h,delta_BA_24h,sep_CA_24h,sep_BA_24h,error_A_48h,error_B_48h,error_C_48h,delta_CA_48h,delta_BA_48h,sep_CA_48h,sep_BA_48h,error_A_72h,error_B_72h,error_C_72h,delta_CA_72h,delta_BA_72h,sep_CA_72h,sep_BA_72h,endpoint_A_72h,endpoint_B_72h,endpoint_C_72h,path_A,path_B,path_C,observed_72h
89822,GS-Y1,1,17.226,14.172,25.351,8.125,-3.053,8.134,3.769,25.854,21.037,42.433,16.579,-4.817,16.595,6.728,20.336,28.253,49.099,28.762,7.916,28.899,8.841,65.339,56.704,44.591,71.479,63.922,46.055,81.387
92885,GS-Y1,1,35.603,32.624,29.755,-5.848,-2.979,7.871,3.732,61.411,59.127,36.521,-24.889,-2.284,30.834,12.858,78.317,74.271,52.19,-26.126,-4.046,53.722,12.965,52.419,45.107,22.024,82.353,72.831,60.329,32.519
92917,GS-Y1,1,13.85,16.171,17.838,3.988,2.321,26.855,9.812,33.35,21.562,56.441,23.091,-11.788,44.127,33.874,83.375,18.074,125.39,42.015,-65.3,57.878,72.695,171.551,127.627,183.471,212.712,151.888,205.503,109.653
92918,GS-Y1,1,32.73,17.339,21.872,-10.858,-15.39,53.999,15.392,61.204,55.144,67.933,6.729,-6.06,65.468,18.041,86.098,84.676,79.472,-6.626,-1.422,68.34,14.771,160.497,148.161,128.697,186.172,175.162,146.65,208.031
92920,GS-Y1,1,17.723,21.675,16.011,-1.711,3.952,6.32,3.989,47.027,48.027,37.695,-9.332,1.0,14.312,1.604,76.384,75.672,64.318,-12.065,-0.711,16.338,2.395,55.988,54.615,48.752,60.611,55.15,48.806,28.77
98904,GS-Y1,1,34.795,34.815,12.027,-22.768,0.02,22.837,4.113,54.969,52.911,28.638,-26.331,-2.058,26.595,11.114,70.622,66.263,34.306,-36.316,-4.359,42.888,11.57,126.716,115.396,121.473,161.606,141.282,124.686,100.206
98942,GS-Y1,1,41.219,44.534,16.707,-24.512,3.315,26.895,11.454,69.639,62.379,34.645,-34.995,-7.261,49.837,39.106,64.251,91.96,39.968,-24.283,27.709,37.44,74.814,160.984,131.202,123.842,185.6,179.298,126.515,109.183
98944,GS-Y1,1,27.357,29.696,8.748,-18.609,2.339,20.123,4.678,42.538,41.658,19.332,-23.207,-0.881,26.333,18.806,45.964,48.292,22.284,-23.679,2.328,27.948,23.02,122.836,108.939,108.87,158.418,143.216,113.583,87.992
92872,GS-Y2,2,28.492,28.869,7.666,-20.826,0.377,21.146,9.91,88.679,82.125,34.306,-54.373,-6.554,54.946,6.977,104.301,101.89,NOT_AVAILABLE,NOT_AVAILABLE,-2.411,NOT_AVAILABLE,5.756,153.731,159.15,NOT_AVAILABLE,157.865,160.046,204.352,240.175
98941,GS-Y2,2,80.227,82.848,65.481,-14.746,2.621,70.097,3.808,124.879,144.104,89.394,-35.485,19.225,89.183,21.095,199.597,220.888,193.982,-5.615,21.291,61.935,39.113,197.188,171.379,235.524,232.858,203.083,240.752,392.257
93015,GS-Y3,3,16.918,17.187,9.06,-7.858,0.269,23.179,1.215,28.225,31.532,15.375,-12.85,3.308,34.625,5.033,44.269,46.836,22.89,-21.379,2.567,45.789,5.692,26.049,21.857,71.834,54.664,23.023,71.905,68.331
92863,GS-Y4,4,25.099,18.348,24.833,-0.266,-6.751,13.011,6.908,52.491,42.335,39.558,-12.933,-10.156,30.249,12.035,84.916,70.699,43.633,-41.283,-14.217,59.994,18.498,80.199,86.741,51.553,84.373,88.051,62.368,93.653
98936,GS-Y5,5,18.629,1.77,117.8,99.17,-16.859,99.728,18.53,32.409,32.186,NOT_AVAILABLE,NOT_AVAILABLE,-0.223,NOT_AVAILABLE,22.077,49.207,61.857,NOT_AVAILABLE,NOT_AVAILABLE,12.65,NOT_AVAILABLE,21.79,116.612,136.967,NOT_AVAILABLE,126.521,155.793,186.522,86.202
81994,GS-Y6,6,54.512,54.936,36.256,-18.256,0.423,37.745,13.59,135.2,133.636,91.168,-44.032,-1.564,54.437,23.975,270.709,283.559,204.934,-65.774,12.85,69.586,18.214,151.968,170.12,93.614,158.838,189.18,95.926,186.287
88538,GS-Y6,6,60.191,62.143,37.752,-22.439,1.952,46.662,6.325,152.568,151.624,98.697,-53.871,-0.944,70.187,7.874,310.547,308.311,211.081,-99.466,-2.236,105.975,4.434,181.827,177.733,90.605,196.506,199.139,92.887,198.402
90466,GS-Y6,6,46.593,46.291,37.364,-9.229,-0.302,26.65,14.349,105.377,105.302,81.515,-23.862,-0.075,34.098,27.792,203.025,219.933,173.171,-29.854,16.907,34.572,26.12,124.469,150.501,92.612,128.323,163.557,94.673,149.701
92869,GS-Y7,7,84.985,91.541,NOT_AVAILABLE,NOT_AVAILABLE,6.556,NOT_AVAILABLE,7.57,103.731,111.531,NOT_AVAILABLE,NOT_AVAILABLE,7.8,NOT_AVAILABLE,13.141,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,211.671,216.536,18.532,172.82
88532,GS-Y8,8,83.673,90.827,31.466,-52.208,7.154,114.932,12.698,123.057,145.93,NOT_AVAILABLE,NOT_AVAILABLE,22.873,NOT_AVAILABLE,29.018,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,201.01,205.963,198.036,412.902
92906,GS-Y9,9,14.921,17.085,26.613,11.692,2.163,11.758,3.713,32.206,30.518,48.06,15.854,-1.687,19.803,4.239,42.529,36.473,68.454,25.924,-6.056,33.95,11.215,34.242,44.688,16.011,52.534,45.976,18.952,74.801
92919,GS-Y9,9,36.58,39.428,64.973,28.394,2.848,67.212,7.109,170.123,208.463,51.109,-119.014,38.341,155.184,41.993,287.951,353.669,105.284,-182.666,65.718,192.818,74.452,196.531,212.087,217.885,253.241,246.467,265.322,244.942
