replicate,window_indices,available_windows,Theta_b_km
1,6 1 1 4 5 5 4 4 8,5,-65.774000
2,3 3 3 3 6 5 6 2 6,6,-41.283000
3,7 7 3 2 7 3 4 1 5,5,-41.283000
4,2 2 4 7 8 7 6 5 0,5,-21.379000
5,7 7 1 4 0 2 2 1 5,6,-19.625500
6,0 7 8 5 8 4 4 4 4,4,-72.072500
7,5 4 5 8 5 1 7 7 2,6,-65.774000
8,3 5 0 7 8 6 6 7 3,5,-41.283000
9,7 8 8 8 4 5 1 4 7,5,-78.371000
10,5 3 2 1 4 7 0 8 8,7,-41.283000
11,2 5 3 1 1 8 3 6 1,8,-31.331000
12,0 1 7 8 0 4 3 8 3,7,-41.283000
13,8 1 5 5 8 6 8 1 0,8,-65.774000
14,0 4 0 7 7 1 5 7 7,4,-17.872000
15,0 4 5 3 2 0 1 1 3,8,-19.625500
16,0 7 8 1 6 5 5 8 7,6,-65.774000
17,0 4 1 8 1 8 6 6 6,5,-17.872000
18,2 1 1 2 8 2 4 1 3,8,-21.379000
19,5 5 0 3 5 0 1 3 2,9,-41.283000
20,5 5 1 8 1 1 6 8 6,7,-65.774000
21,7 1 2 0 6 2 8 6 7,5,-21.379000
22,5 7 5 6 3 7 5 2 7,5,-65.774000
23,8 1 2 2 6 3 4 0 1,7,-21.379000
24,4 8 7 1 2 2 6 7 4,4,-21.379000
25,1 8 7 7 5 0 6 7 7,4,-41.823000
26,1 0 6 7 5 6 8 5 8,6,-65.774000
27,7 5 6 0 2 0 4 7 4,4,-19.625500
28,5 3 2 3 0 4 2 1 8,8,-31.331000
29,4 0 3 5 3 2 8 5 3,8,-41.283000
30,1 2 1 0 3 0 3 6 7,7,-17.872000
31,8 5 6 1 3 8 4 7 6,5,-65.774000
32,3 1 8 1 2 3 6 5 3,8,-41.283000
33,8 8 2 6 4 8 3 2 2,7,-41.283000
34,0 6 0 3 5 1 3 7 3,7,-41.283000
35,0 0 2 7 4 0 8 2 1,7,-17.872000
36,3 1 3 2 0 1 2 0 6,8,-19.625500
37,0 3 4 8 1 7 7 8 8,6,-59.827000
38,4 6 7 2 5 0 1 0 6,5,-17.872000
39,0 0 2 8 5 1 3 6 3,8,-31.331000
40,3 2 4 8 4 0 8 3 8,7,-41.283000
41,1 7 6 8 3 4 4 2 8,5,-41.283000
42,6 8 2 5 0 0 2 2 3,8,-21.379000
43,3 8 0 6 0 0 0 5 1,8,-17.872000
44,6 0 3 8 6 4 4 3 2,5,-41.283000
45,5 8 3 2 7 8 8 0 7,7,-65.774000
46,4 4 1 6 5 3 0 0 4,5,-17.872000
47,3 3 3 0 5 6 1 1 6,7,-41.283000
48,5 6 2 6 1 7 0 8 2,6,-21.379000
49,7 4 7 1 1 0 7 2 2,5,-17.872000
50,8 6 6 0 6 3 4 7 3,4,-41.283000
51,8 0 0 6 4 6 0 8 5,6,-41.823000
52,2 7 2 1 4 2 8 6 2,6,-21.379000
53,5 4 5 0 7 4 2 1 8,6,-43.576500
54,0 6 6 6 6 2 7 5 4,3,-21.379000
55,8 6 2 3 7 4 8 0 0,6,-31.331000
56,6 6 6 3 4 0 4 2 6,3,-21.379000
57,4 3 5 5 2 5 5 6 7,6,-65.774000
58,7 3 4 0 7 6 4 8 7,3,-41.283000
59,8 7 5 0 3 5 4 7 5,6,-65.774000
60,3 8 3 8 1 2 5 5 5,9,-65.774000
61,7 0 8 8 2 2 0 4 4,6,-21.379000
62,0 1 5 0 1 1 0 3 2,9,-17.872000
63,0 1 8 8 2 2 3 6 8,8,-31.331000
64,4 0 6 1 1 3 2 2 0,7,-17.872000
65,6 8 0 0 2 2 4 4 2,6,-21.379000
66,5 2 7 7 6 6 2 5 8,5,-65.774000
67,0 0 6 0 8 4 7 2 7,5,-17.872000
68,0 0 2 7 6 6 7 1 7,4,-17.872000
69,5 2 3 0 6 2 5 3 4,7,-41.283000
70,7 6 4 2 5 7 3 7 8,4,-53.528500
71,7 6 5 3 1 1 0 8 5,7,-41.283000
72,7 3 2 4 2 0 5 8 3,7,-41.283000
73,0 8 8 6 2 4 0 7 6,5,-21.379000
74,2 7 3 4 6 3 5 1 5,6,-41.283000
75,0 8 2 6 5 2 4 5 6,6,-43.576500
76,8 1 4 5 8 1 7 5 0,7,-65.774000
77,2 6 1 4 5 6 5 7 1,5,-21.379000
78,0 1 8 7 1 3 1 0 5,8,-17.872000
79,3 6 5 4 6 5 6 5 7,4,-65.774000
80,6 3 8 7 3 4 5 2 0,6,-41.283000
81,6 3 8 3 3 3 2 6 6,6,-41.283000
82,7 6 1 4 5 6 2 2 2,5,-21.379000
83,3 1 0 1 7 4 4 5 4,5,-17.872000
84,8 4 3 0 4 4 5 1 2,6,-31.331000
85,0 5 7 4 1 5 5 8 4,6,-65.774000
86,7 4 6 6 6 1 0 8 5,4,-41.823000
87,2 2 8 6 8 7 4 5 4,5,-65.774000
88,8 3 2 4 5 0 6 6 5,6,-53.528500
89,2 6 6 6 6 4 0 0 7,3,-17.872000
90,3 2 0 6 3 7 7 2 4,5,-21.379000
91,0 1 1 4 1 4 7 3 5,6,-11.743500
92,4 3 8 8 2 2 8 3 7,7,-41.283000
93,6 8 4 8 2 2 5 1 7,6,-43.576500
94,5 6 8 4 8 5 6 6 7,4,-72.072500
95,7 7 1 7 4 7 0 4 8,3,-17.872000
96,2 5 5 8 3 2 0 2 6,8,-31.331000
97,5 7 3 6 8 4 2 6 1,5,-41.283000
98,1 0 3 5 8 6 3 4 4,6,-41.283000
99,2 0 5 6 3 8 3 2 7,7,-41.283000
100,6 1 4 4 2 3 6 0 2,5,-21.379000
101,8 8 7 7 4 5 4 2 2,5,-65.774000
102,5 3 4 0 1 3 4 0 8,7,-41.283000
103,5 8 1 4 3 7 1 1 5,7,-41.283000
104,5 6 7 8 6 0 2 8 8,6,-72.072500
105,6 8 5 1 1 5 7 4 7,5,-65.774000
106,3 4 1 5 3 3 6 3 7,6,-41.283000
107,5 1 7 8 0 2 4 5 2,7,-21.379000
108,4 0 3 5 7 1 2 0 3,7,-21.379000
109,7 3 3 6 7 5 2 4 8,5,-41.283000
110,4 6 0 1 2 3 8 5 4,6,-31.331000
111,1 2 8 0 5 0 2 8 1,9,-21.379000
112,6 8 3 5 1 3 8 2 5,8,-53.528500
113,3 4 7 3 2 3 5 7 2,6,-41.283000
114,5 1 0 3 4 6 7 0 3,6,-29.577500
115,8 1 5 8 8 4 5 8 4,7,-78.371000
116,7 5 4 5 6 8 4 1 7,4,-65.774000
117,6 4 8 6 1 8 0 8 8,6,-78.371000
118,3 0 8 1 3 8 0 1 2,9,-21.379000
119,7 3 2 6 2 7 2 7 1,5,-21.379000
120,3 3 1 1 3 0 7 2 8,8,-31.331000
121,2 1 2 3 6 8 4 4 4,5,-21.379000
122,4 0 8 2 3 8 7 3 2,7,-41.283000
123,8 4 1 4 0 5 2 6 6,5,-21.379000
124,1 3 5 5 0 6 5 7 4,6,-53.528500
125,2 0 2 5 6 2 4 4 3,6,-21.379000
126,4 6 5 4 5 6 5 3 8,5,-65.774000
127,8 5 7 2 3 2 5 3 4,7,-41.283000
128,5 8 7 7 0 8 0 1 2,7,-21.379000
129,3 3 3 7 1 8 0 6 4,6,-41.283000
130,8 3 0 1 4 4 8 3 3,7,-41.283000
131,1 7 7 6 0 1 7 2 0,5,-17.872000
132,3 2 2 3 8 6 0 2 6,7,-21.379000
133,3 5 7 0 1 5 5 0 3,8,-41.283000
134,2 5 0 5 1 1 1 4 5,8,-19.625500
135,4 8 5 6 8 5 4 0 8,6,-72.072500
136,1 6 4 2 4 8 2 4 4,4,-21.379000
137,0 8 5 4 4 6 3 2 7,5,-41.283000
138,7 7 7 7 2 3 3 6 3,4,-41.283000
139,8 7 4 5 5 2 6 2 5,6,-65.774000
140,6 3 0 5 1 2 1 2 2,8,-21.379000
141,7 3 7 0 4 8 2 0 2,6,-21.379000
142,6 3 4 6 8 2 4 6 6,3,-41.283000
143,6 4 0 3 4 4 2 6 1,4,-19.625500
144,2 7 8 8 7 0 5 3 3,7,-41.283000
145,8 4 7 2 7 5 5 2 5,6,-65.774000
146,2 0 4 6 6 1 1 5 1,6,-11.743500
147,7 2 6 4 1 3 3 3 3,6,-41.283000
148,0 5 0 8 8 3 7 6 0,7,-41.283000
149,5 1 6 4 2 8 6 2 6,5,-21.379000
150,2 8 1 2 7 4 3 8 1,7,-21.379000
151,1 7 2 4 7 7 2 2 7,4,-21.379000
152,3 0 4 0 4 0 7 3 8,6,-29.577500
153,8 7 5 5 3 8 1 1 2,8,-53.528500
